"CID,A,10","CCUSTYPE,A,1","CSUPTYPE,A,1","CNAME1,A,40","CNAME2,A,40","CADDRESS1,A,40","CADDRESS2,A,40","CZIPCODE,A,10","CSVATNO,A,15","CLOCALITY,A,40","CLANGUAGE,A,2","CISPERS,L,1","CPROCAT,A,3","CSUPCAT,A,3","CCUSCAT,A,3","CCURRENCY,A,3","CVATREF,A,2","CVATNO,A,12","CVATCAT,A,1","CTELNO,A,25","CFAXNO,A,25","CCUSLSTMNO,I,4","CSUPLSTMNO,I,4","CCUSVNAT1,A,3","CCUSVNAT2,A,3","CCUSVATCMP,N,8","CSUPVNAT1,A,3","CSUPVNAT2,A,3","CSUPVATCMP,N,8","CCUSCTRACC,A,10","CSUPCTRACC,A,10","CCUSIMPUTA,A,10","CSUPIMPUTA,A,10","CSUPCATCOMM,A,1","CNATREGISTRYID,A,20","CCTRYCODE,A,2","CBANKCODE,A,8","CBANKNO,A,20","DBNKQUALIF,A,8","CISWARNING,L,1","CISREADONL,L,1","CISBLOCK,L,1","CISSECRET,L,1","CCUSPAYDELAY,A,6","CSUPPAYDELAY,A,6","CCUSPAYDISC,N,8","CSUPPAYDISC,N,8","CCUSPDISCDEL,I,4","CSUPPDISCDEL,I,4","CCUSTEMPLID,A,10","CSUPTEMPLID,A,10","CMEMO,M,11","CREMLASTDATE,@,8","CREMLASTLEVEL,I,4","CREMCAT,A,5","CREMSTATUS,A,1","CTOTINTEREST,$,8","CMANUALPAY,L,1","CINDEPPAYEE,L,1","CINDEPPIMPUT,A,10","CBNKCIVILITY,A,1","CBNKLANGCODE,A,1","CBNKBANKDBK,A,4","CFACTORING,L,1","CFACTORID,A,10","CBANKORDERPAY,L,1","CBANKORDERPAYNO,A,15","CREATEDATE,@,8","MODIFYDATE,@,8","AUTHOR,A,10","EMAILADDRESS,A,60","HTTPADDRESS,A,60","CSUPPJOB,A,10","CTEMPCUSDEBIT,$,8","CTEMPCUSCREDIT,$,8","CTEMPSUPDEBIT,$,8","CTEMPSUPCREDIT,$,8","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","STATIONID,A,3","CBUSINESSNO,A,20","CSLEEPING,L,1","CCUSISWARNING,L,1","CSUPISWARNING,L,1","CCUSISREADONL,L,1","CSUPISREADONL,L,1","CCUSISBLOCK,L,1","CSUPISBLOCK,L,1","CCUSISSECRET,L,1","CSUPISSECRET,L,1","CCUSSLEEPING,L,1","CSUPSLEEPING,L,1","CBNKTYPEPAY,A,3","BOARDDATE,@,8","BOARDPUBLIC,L,1","FISCALCONTROL,A,25","FISCALCTRLTELNO,A,25","FOLDERID,A,2","FYEAREND,@,8","MANFOLDER,L,1","MANREPORT,L,1","REVISOR,A,10","USERRESP,A,10","VATCONTROL,A,25","VATCTRLTELNO,A,25","VATTYPE,A,3","CINDEPPAYAMN,$,8","TREMEXT,A,40","CCOUNTRY,A,6","CCOUHEAD,A,40","CSUPDISCADV,L,1","CSUPDISCADVTYPE,A,1","CCUSDISCADV,L,1","CCUSDISCADVTYPE,A,1"
ABASON,C,U,ABA SON SPRL,Service Comptabilité Fournisseurs,AVE C DE GERLACHE 40,,BE4000,,LIEGE 1,F,0,,,,,BE,0465431932,,04/233.21.61,04/235.98.58,10,0,,,0.000000,,,0.000000,,,,,,,BE,,196028532203,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,0465431932,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABASYS,C,U,ABASYS SPRL,Service Comptabilité Fournisseurs,RUE SONDEVILLE 12,,BE4680,,OUPEYE,F,0,,,,,BE,0466577819,,04/264.96.69,04/264.96.69,13,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2008-03-28 00:00:00,1,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,0466577819,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABATT,C,U,ABATTOIR COMMUNAL D'AUBEL,Service Comptabilité Fournisseurs,RTE DE MERCKHOF 111,,BE4880,,AUBEL,F,0,,,,,BE,0207370459,,087/68.71.77,087/68.61.01,8,0,,,0.000000,,,0.000000,,,,,,,BE,,091011336093,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2007-03-26 00:00:00,1,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,0207370459,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABATTOIR,C,U,INTERCOMMUNALE DES ABATTOIRS,DE LIEGE ET WAREMME,RUE DE DROIXHE 34 B,,BE4020,,LIEGE 2,F,0,,,,,BE,0239025519,,04/362.99.40,04/362.54.85,32,0,,,0.000000,,,0.000000,,,,,,,BE,,001222949021,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2004-12-23 00:00:00,2,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,0239025519,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABBAYEST,C,U,ETC ABBAYE DE STAVELOT,Service Comptabilité Fournisseurs,BP 52,,BE4970,,STAVELOT,F,0,,,,,,,X,080/88.08.78,080/88.08.77,6,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,1,0,0,,,0.000000,0.000000,0,0,,,,2004-08-23 00:00:00,2,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,,0,0,0,1,1,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABC,C,S,ABC...EXPEDIE,Service Comptabilité Fournisseurs,RUE F HOUGET 14,,BE4800,,VERVIERS,F,0,,,,,BE,0465542887,,087/44.01.80,087/22.49.10,37,8,,,0.000000,BSD,GD,21.000000,,,,,,,BE,,340130240726,,0,0,0,0,,30,0.000000,0.000000,0,0,,,,2007-03-26 00:00:00,1,STD,,0.000000,0,0,,,,ING,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,,2004-12-09 20:34:56,SCHILS,2008-08-04 16:09:01,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABCA,C,U,ABCAL ASBL,Mr MAROQUIN Carl,CHSEE DE MARCHE 935,,BE5100,,NAMUR NANINNE,F,0,,,,,BE,0407065844,,081/74.67.81,081/74.67.82,0,0,,,0.000000,,,0.000000,,,,,,,BE,,068214246957,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,0407065844,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABCD,C,U,ABCD,Service Comptabilité Fournisseurs,RUE DU CHAMPAY 13,,BE4000,,LIEGE 1,F,0,,,,,BE,0475047404,,0495/51.25.27,04/252.07.76,7,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2008-01-03 10:38:06,SCHILS,2008-08-04 16:09:01,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,Belgique,0,,0,
ABCIMPRE,C,U,ABC IMPRESSION SPRL,Service Comptabilité Fournisseurs,PARC IND DE VINALMONT - TIGE DE VILLERS,,BE4520,,WANZE VINALMONT,F,0,,,,,BE,0456171105,,085/23.63.90,085/23.51.11,6,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2007-03-21 13:24:02,SCHILS,2008-08-04 16:09:01,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,Belgique,0,,0,
ABCOACHI,C,U,ADAMSKY  BEATRICE COACHING,Service Comptabilité Fournisseurs,WINKELSTRASSE 7,,BE4728,,KELMIS HERGENRATH,F,0,,,,,BE,0650469330,,087/63.08.10,,0,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2006-10-03 16:57:40,SCHILS,2008-08-04 16:09:01,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,Belgique,0,,0,
ABCOACHING,U,S,ADAMSKY BEATRICE COACHING,,WINKELSTRASSE 7,,BE4728,,Hergenrath,F,0,,,,,BE,0650469330,,087/630810,,25,18,,,,BSD,GD,21.000000,,,,601000,,,,BBRBBE,731000720704,,0,0,0,0,,30,,,,,,,,,,,,,0,0,,,,,0,,0,,,,,,,,,,,,SCHILS,2006-05-04 14:30:18,SCHILS,2008-06-25 08:50:38,A,000,0650469330,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABCONSEI,C,S,AB CONSEIL SA,Service Comptabilité Fournisseurs,AVE DU PRE AILY 26,,BE4031,,LIEGE ANGLEUR,F,0,,,,,BE,0457984807,,04/365.71.69,04/367.49.48,20,19,,,0.000000,BSD,GD,21.000000,,,,601000,,,BE,,240063800035,,0,0,0,0,,30,0.000000,0.000000,0,0,,,,2006-08-10 00:00:00,1,STD,,0.000000,0,0,,1,2,ING,0,,0,False,,2004-06-01 16:04:34,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,0457984807,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABCONSUL,C,U,AB CONSULT SPRL,Service Comptabilité Fournisseurs,RUE SOSSON 26,,BE4170,,COMBLAIN-AU-PONT,F,0,,,,,BE,0471274203,,04/380.08.81,04/380.56.37,30,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2006-05-24 00:00:00,2,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,0471274203,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABERIS,C,S,ABERIS.COM SPRL,Service Comptabilité Fournisseurs,RUE CHRISTOPHE 27,,BE4040,,HERSTAL,F,0,,,,,BE,0476898421,,04/349.07.05,04/343.44.60,1,5,,,,BSD,GD,21.000000,,,,601000,,,BE,BBRBBE,634362210196,,0,0,0,0,,30,,,,,,,,,,,,,0,0,,,,ING,0,,0,False,,,MONKEY,,,,,,,,NEURAY,2005-02-08 11:20:28,SCHILS,2008-08-04 16:09:01,A,000,0476898421,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABFCE,C,U,ABFCE SECTION WALLONIE,Service Comptabilité Fournisseurs,RUE SOEURS DE HASQUE 8D BTE 012,,BE4000,,LIEGE 1,F,0,,,,,,,N,04/223.06.98,04/223.29.20,2,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2005-11-07 09:31:19,SCHILS,2008-08-04 16:09:01,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABIMEX,C,U,ABIMEX SA,Service Comptabilité Fournisseurs,PARC INDUSTRIEL,,BE1360,,PERWEZ,F,0,,,,,BE,0422338889,,04/225.74.11,,5,0,,,0.000000,,,0.000000,,,,,,,BE,,340065168880,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2008-07-25 00:00:00,1,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2006-05-08 08:55:58,SCHILS,2008-08-04 16:09:01,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABISOC,C,U,ABISOC,Service Comptabilité Fournisseurs,RUE DE LEUZE 379,,BE5300,,ANDENNE VEZIN,F,0,,,,,BE,0425112792,,,,2,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2008-06-03 16:36:41,SCHILS,2008-08-04 16:09:01,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABN,C,U,ABN AMRO BELGIUM,SERVICE P&C,RUE DE LA CHANCELLERIE 17A,,BE1000,,BRUXELLES VILLE,F,0,,,,,BE,0434676301,,02/546.04.60,02/546.04.00,15,0,,,0.000000,,,0.000000,,,,,,,BE,,722516888819,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2007-08-22 00:00:00,1,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,0434676301,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABNETWOR,C,S,AB NETWORK SPRL,Service Comptabilité Fournisseurs,RUE DE L'AVENIR 4,,BE4530,,VILLERS-LE-BOUILLET,F,0,,,,,BE,0430089288,,04/259.92.20,04/259.92.29,34,349,,,0.000000,BSD,GD,21.000000,,,,613000,,,BE,,340029734073,,0,0,0,0,,30,0.000000,0.000000,0,0,,,,2007-08-22 00:00:00,2,STD,,0.000000,0,0,,,,ING,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,0430089288,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ABRACADA,C,S,ABRACADABRA,Service Comptabilité Fournisseurs,RUE DE SERAING 3,,BE4020,,LIEGE 2,F,0,,,,,BE,0603774619,,04/342.09.11,04/342.09.11,0,532,,,0.000000,BSD,GD,21.000000,,,,601000,,,BE,BBRBBE,063944430027,,0,0,0,0,,30,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,ING,0,,0,False,,2004-06-23 08:54:16,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:02,M,,0603774619,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
