"CID,A,10","CCUSTYPE,A,1","CSUPTYPE,A,1","CNAME1,A,40","CNAME2,A,40","CADDRESS1,A,40","CADDRESS2,A,40","CZIPCODE,A,10","CSVATNO,A,15","CLOCALITY,A,40","CLANGUAGE,A,2","CISPERS,L,1","CPROCAT,A,3","CSUPCAT,A,3","CCUSCAT,A,3","CCURRENCY,A,3","CVATREF,A,2","CVATNO,A,12","CVATCAT,A,1","CTELNO,A,25","CFAXNO,A,25","CMEMO,M,11","CCUSLSTMNO,I,4","CSUPLSTMNO,I,4","CCUSVNAT1,A,3","CCUSVNAT2,A,3","CCUSVATCMP,N,8","CSUPVNAT1,A,3","CSUPVNAT2,A,3","CSUPVATCMP,N,8","CCUSCTRACC,A,10","CSUPCTRACC,A,10","CCUSIMPUTA,A,10","CSUPIMPUTA,A,10","CSUPCATCOMM,A,1","CCTRYCODE,A,2","CBANKCODE,A,8","CBANKNO,A,20","DBNKQUALIF,A,8","CISWARNING,L,1","CISREADONL,L,1","CISBLOCK,L,1","CISSECRET,L,1","CCUSPAYDELAY,A,6","CSUPPAYDISC,N,8","CSUPPDISCDEL,I,4","CTEMPCUSDEBIT,$,8","CTEMPCUSCREDIT,$,8","CTEMPSUPDEBIT,$,8","CTEMPSUPCREDIT,$,8","CREMLASTDATE,@,8","CREMLASTLEVEL,I,4","CREMCAT,A,5","CREMSTATUS,A,1","CTOTINTEREST,$,8","CREATEDATE,@,8","MODIFYDATE,@,8","AUTHOR,A,10","CNATREGISTRYID,A,20","CSUPPAYDELAY,A,6","CMANUALPAY,L,1","CINDEPPAYEE,L,1","CINDEPPIMPUT,A,10","CBNKCIVILITY,A,1","CBNKLANGCODE,A,1","CBNKBANKDBK,A,4","CFACTORING,L,1","CFACTORID,A,10","CBANKORDERPAY,L,1","CBANKORDERPAYNO,A,15","CCUSPDISCDEL,I,4","CCUSPAYDISC,N,8","CCUSTEMPLID,A,10","CSUPTEMPLID,A,10","EMAILADDRESS,A,60","HTTPADDRESS,A,60","CSUPPJOB,A,10","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","STATIONID,A,3","XUSRGETEMPL,N,8","XUSRGETTO,$,8","XUSRGETINTERES,A,10","CBUSINESSNO,A,20","CSLEEPING,L,1","CCUSISWARNING,L,1","CSUPISWARNING,L,1","CCUSISREADONL,L,1","CSUPISREADONL,L,1","CCUSISBLOCK,L,1","CSUPISBLOCK,L,1","CCUSISSECRET,L,1","CSUPISSECRET,L,1","CCUSSLEEPING,L,1","CSUPSLEEPING,L,1","CBNKTYPEPAY,A,3","BOARDDATE,@,8","BOARDPUBLIC,L,1","FISCALCONTROL,A,25","FISCALCTRLTELNO,A,25","FOLDERID,A,2","FYEAREND,@,8","MANFOLDER,L,1","MANREPORT,L,1","REVISOR,A,10","USERRESP,A,10","VATCONTROL,A,25","VATCTRLTELNO,A,25","VATTYPE,A,3","XUSRCONTACT,A,10","CCOUNTRY,A,6","CCOUHEAD,A,40","CSUPDISCADV,L,1","CSUPDISCADVTYPE,A,1","CINDEPPAYAMN,$,8","CCUSDISCADV,L,1","CCUSDISCADVTYPE,A,1","TREMEXT,A,40"
ARIA,U,S,ARIA,,"ROUTE D'ARLON, 72",,LU1150,,LUXEMBOURG,,,,002,,,LU,,,00352/44.88.38,,,1,4,,,,BD,G,21.000000,,,,602000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
ARJO_WIGG,U,U,ARJO WIGGINS BELGIUM,,LES HEURES-CLAIRES,,BE1400,,NIVELLES,N,,003,,,,BE,0400344734,,067281211,067211133,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0400344734,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
ARTHAUD,C,S,ARTHAUD AUDE,,"Rue Auguste Prest, 6",,FR57000,,Metz,F,,,,001,,FR,45454444444,,0033/87/691277,,,7,5,TRF,OG,0.000000,,,,,,700000,600000,,,,,,,,,,30,,,,,,,2003-09-08 00:00:00,1,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,1,2,GB1,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,FR,France,0,,,0,,
ARTHURAN,U,S,ARTHUR ANDERSEN & CO,,VON KARMAN AVENUE 18500,,CA92715,,IRVINE CALIFORNIE,A,,,002,,USD,EX,,N,(714)757 3100,,,1,2,,,,IBS,IGD,0.000000,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,CA,,0,,,0,,
ARTHURLU,U,U,ARTHUR ANDERSEN & Co,,6 RUE JEAN MONET,,LU2180,,Luxembourg,F,,003,,,,LU,,,00352422233,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
ASMA,C,U,ASMA-BORGERS CV,,BELCROWNLAAN 13,,BE2100,,DEURNE,N,,,,001,,BE,0404753482,,033267575,033243660,,5,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,2003-09-08 00:00:00,1,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0404753482,0,,,,,,,,,1,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
ASSOCIATIO,U,S,ASSOCIATION LIEGEOISE D'ELECTRICITE - A.,,RUE LOUVREX 95,,BE4000,,LIÔGE,F,,,002,,,BE,0204245277,,042201501,042201200,,1,6,,,,,,,,,,600000,,,,000000004141,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,0,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0204245277,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
ATLASED1,C,S,EDITIONS RENCONTRE ATLAS S.A.,,"Chemin d'Entre-Bois, 31",,CH 45177,,Lausanne,F,,003,002,002,CHF,EX,,,021 37 38 41,,,4,14,EXP,EXP,0.000000,IM,IHG,0.000000,,,701000,602000,,,,,,,,,,30,2.000000,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,30,,0,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,CH,Suisse,0,,,0,,
ATUNMED,C,S,Atun Med. Geraete & Elektronik,,Deutz-Kalker-Strasse 132,,DE45447,,Cologne 21,E,,,,001,,DE,154545454555,,0049221881350,,,5,3,LVI,LVI,0.000000,,,,,,700000,600000,,,,,,,,,,60*,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,1,1,FOR,,0,,,,,0,0,,,,,M,,DE,Germany,0,,,0,,
AUSTRIANAS,U,S,AUSTRIAN AIRLINES SOET,,BRUSSELS NATIONAL AIRPORT - C/O SABENA H,,BE1930,,ZAVENTEM,N,,,002,,,BE,0403421317,,027238300,027238090,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0403421317,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
AUX_MIN,U,U,L'AUXILIAIRE MINIÔRE SA,,RUE SAINT-GEORGES 5-7,,BE4000,,LIEGE,F,,003,,,,BE,0404225823,,042220686,042233570,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0404225823,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
BASF,C,U,B A S F ANTWERPEN,,HAV 725SCHELDELAAN 6,,BE2040,,ANTWERPEN 4,N,,,,001,,BE,0404754472,,035612111,035612993,,7,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,2003-09-08 00:00:00,1,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0404754472,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
BAXTER_TRA,U,S,BAXTER TRAVENOL NV,,KOL. BOURGSTRAAT 105 B,,BE1140,,BRUSSEL,N,,,002,,,BE,0403093693,,027021711,027021880,,1,4,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0403093693,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
BAYER,U,U,BAYER NV KRUISSCHANS,,HAVEN LILLO 507 B 420,,BE2040,,LILLO,N,,003,,,,BE,0404754571,,035403011,035416936,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0404754571,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
BECKERS,C,U,BECKERS ESSEN NV,,RIJKMAKERLAAN 24,,BE2910,,ESSEN,N,,,,001,,BE,0407225893,,036673556,036676000,,5,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,2003-09-08 00:00:00,1,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0407225893,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
BEKAERT,U,S,BEKAERT NV,,BEKAERTSTRAAT 2,,BE8550,,ZWEVEGEM,N,,,002,,,BE,0405412983,,056766936,056767575,,1,3,,,,,,,,,,600000,,,,000000005252,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,0,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0405412983,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
BELGA,U,S,BELGACOM,,"Blvd Roi Albert II, 27",,BE1030,,Bruxelles (Schaerbeek),F,0,,002,,,BE,0202239951,,,,,1,1,,,,,,,,440000,,612100,,,BBRBBE,,,0,0,0,0,,,,,,,,,,,,,,,,,60*,0,0,,,,,0,,0,,,,,,,,,BOB,2003-09-17 12:10:46,ADMIN,2008-06-30 12:00:45,A,,,,,0202239951,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
BELGACOMM,U,U,BELGACOM MOBILE SA,,BOULEVARD EMILE JACQMAIN 157,,BE1030,,BRUXELLES,N,,003,,,,BE,0453918428,,080012012,022054040,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0453918428,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
BELGOMILK,C,U,BELGOMILK - POEDERDIVISIE CV,,MELKERIJSTRAAT 10 BUS 58,,BE8920,,LANGEMARK,N,,,,001,,BE,0443908919,,057490200,057490299,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0443908919,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
BETZ,U,S,BETZ,,TOEKOMSTLAAN,,BE2200,,HERENTALS,N,,,002,,,BE,0407904596,,014259111,014259112,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0407904596,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
BMW,U,U,BMW BELGIUM NV,,LODDERSTRAAT 16,,BE2880,,BORNEM,N,,003,,,,BE,0413533863,,038909711,038909811,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0413533863,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
BOEL,C,U,USINES GUSTAVE BOEL,,RUE DES RIVAUX 2,,BE7100,,LA LOUVIERE,F,,,,001,,BE,0417374172,,025118123,025118195,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0417374172,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
BOLCKMANS,U,S,BOLCKMANS NV,,INDUSTRIEWEG 4,,BE2320,,HOOGSTRATEN,N,,,002,,,BE,0447785256,,033143040,033144559,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0447785256,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
BONPRI,U,U,BONPRI - LENTZ MARCHE,,B.P. 41,,LU4702,,PETANGE,F,,003,,,,LU,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
BONTRAGER,U,S,Bontrager Bike Material,,,,BE,,,F,,,001,,,BE,0404658165,,,,,,,,,,MD,HG,21.000000,,,,601000,,,BBRBBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:45,M,,,,,0404658165,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
BOPACK,C,U,BOPACK NV,,UILENBAAN 100,,BE2160,,WOMMELGEM,N,,,,001,,BE,0406967854,,033551838,033534150,,3,1,,,,,,,,,700000,,,,,240039299956,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0406967854,0,,,,,,,,,1,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
BP,U,S,BP LINALUX SA,,AVENUE DE L'INDEPENDANCE 59,,BE4020,,WANDRE,F,,,002,,,BE,0443783314,,043627950,043623543,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0443783314,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
BRABO,U,U,BRABO CV,,SINT-ALDEGONDISKAAI 36,,BE2000,,ANTWERPEN,N,,003,,,,BE,0404756848,,032335352,032250478,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0404756848,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
BRICO,C,U,BRICO BELGIUM,,RUE DU DAMIER 26,,BE1000,,BRUXELLES,N,,,,001,,BE,0427572733,,025365738,025365787,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,2003-09-08 00:00:00,1,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0427572733,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
BRIDGESTON,U,S,BRIDGESTONE FIRESTONE EUROPE NV,,KENNEDYLAAN 3,,BE1831,,DIEGEM,N,,,002,,,BE,0441192820,,027724159,027702080,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0441192820,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
