"AID,A,10","AISTITLE,L,1","HEADING1,A,40","HEADING2,A,40","ACAT,A,3","AINTCAT,A,10","ACATCOMM,A,1","ADBCD,A,1","AISCOST,L,1","AVATTYPE,A,1","AVATENAT1,A,3","AVATENAT2,A,3","AVATECMP,N,8","AVATNNAT1,A,3","AVATNNAT2,A,3","AVATNCMP,N,8","AVATINAT1,A,3","AVATINAT2,A,3","AVATICMP,N,8","AISSUMMARY,L,1","AISSTATUS,L,1","AISREADONL,L,1","AISSECRET,L,1","VTRAVFA,L,1","AISMATCH,L,1","HISINTRASTAT,L,1","AMATCHNO,I,4","ABALANCE,A,10","AREM,A,35","ABOFFDEB,A,10","ABOFFCRED,A,10","ABINTDEB,A,10","ABINTCRED,A,10","CREATEDATE,@,8","MODIFYDATE,@,8","AUTHOR,A,10","AVATCAS,L,1","AMEMO,M,11","COST_DEPART,A,5","COSTRDEPART,L,1","ASECONDID,A,10","AFREE,A,40","DEPACC,A,10","PROVACC,A,10","PRCNDCHARGES,N,8","PRCPRIVATE,N,8","ACCTSECONDID,L,1","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","STATIONID,A,3","COSTRPERS,L,1","COST_PERS,A,6","COSTRMAGASIN,L,1","COST_MAGASIN,A,10","TYPENDCHARGES,A,3","AFIXTYPE,A,10","ASLEEPING,L,1","DISCADVNOT,L,1"
124000,0,Reprises de réd. de val./plac. de très.,Terugnem. waardevermin. op geldbelegging,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
13,1,Réserves,Reserves,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
130,1,Réserve légale,Wettelijke reserve,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
130000,0,Réserve légale,Wettelijke reserve,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
131,1,Réserves indisponibles,Onbeschikbare reserves,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
131000,0,Réserves pour actions propres,Reserve voor eigen aandelen,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
131100,0,Autres réserves indisponibles,Andere onbeschikbare reserves,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
132,1,Réserves immunisées,Belastingvrije reserves,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
132000,0,Réserves immunisées,Belastingvrije reserves,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
133,1,Réserves disponibles,Beschikbare reserves,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
133000,0,Réserve pour régularis. de dividendes,"Beschikbare reserves, netto-dividenden o",,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
133100,0,Réserve pour renouvellement des immob.,Reserves voor vernieuwing onroer. goed.,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
133200,0,Réserve pour install. en faveur du pers.,Reserves voor installaties t.v.v. het pe,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
133300,0,Réserves libres,Vrije reserves,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
14,1,Résultat reporté,Overgedragen resultaat,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
140,1,Bénéfice reporté,Overgedragen winst,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
140000,0,Bénéfice reporté,Overgedragen winst,,DEFAULT,,,0,,,,,,,,,,,0,0,0,0,0,1,0,2,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 16:13:17,M,,0,,0,,,,0,0
141,1,Perte reportée,Overgedragen verlies,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
141000,0,Perte reportée,Overgedragen verlies,,DEFAULT,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 16:13:17,M,,0,,0,,,,0,0
15,1,Subsides en capital,Kapitaalsubsidies,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
150,1,Subsides en cap. - Montants obtenus,Kapitaalsubsidies - Beschikbaar bedrag,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
150000,0,Subsides en cap. - Montants obtenus,Kapitaalsubsidies - Beschikbaar bedrag,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
151,1,Subsides-Montants transf. aux résultats,In resultaat genomen kapitaalsubsidies,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
151000,0,Subsides-Montants transf. aux résultats,In resultaat genomen kapitaalsubsidies,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
16,1,Provisions et impôts différés,Voorzieningen en uitgest. belasting.,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
160,1,Provisions pour pensions,Voorz. v. pensioen. en soortgel. verplic,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
160000,0,Provisions pour pensions,Voorz. v. pensioen. en soortgel. verplic,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
161,1,Provisions pour charges fiscales,Voorzieningen voor belastingen,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
161000,0,Provisions pour charges fiscales,Voorzieningen voor belastingen,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
162,1,Provisions pr grosses rép. & gros entr.,Voorz. v. grote herstellingswerk. en ond,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
162000,0,Provisions pr grosses rép. & gros entr.,Voorz. v. grote herstellingswerk. en ond,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
163,1,Provisions pour rente viagère,Voorzieningen voor lijfrentecontracten,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
163000,0,Provisions pour rente viagère,Voorzieningen voor lijfrentecontracten,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
164,1,Provisions pr sûretés pers. et réelles,Voorz. voor pers. en werkelijke waarborg,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
164000,0,Provisions pr sûretés pers. et réelles,Voorz. voor pers. en werkelijke waarborg,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
165,1,Provisions diverses,Diverse voorzieningen,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
165000,0,Provisions pr engagements sur immobilis.,Voorz. voor imm. verplichtingen,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
165100,0,Provisions pr exécut. de commandes,Voorz. voor de bestellingen in uitvoerin,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
165200,0,Provisions pr posit. & marchés à t.,Voorz. voor effecten & termijnmarkt,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
165300,0,Provisions pr garanties techniques,Voorz. voor technische waarborgverplicht,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
1654,1,Provisions pour autres risques & charges,Voorz. voor andere risico's en kosten,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
165400,0,Provisions pour litiges en cours,Voorziening voor hangende geschillen,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
165410,0,"Provisions pour amendes, pénalités",Voorzieningen boetes,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
165420,0,Provisions pour propre assureur,Voorz. voor eigen verzekeraar,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
165430,0,Provisions pour risques de crédit,Voorz. voor afbetalingsrisico's,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
165440,0,Provisions pr partie non app. d'actions,Voorz. voor het gedeelte dat niet bij he,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
165450,0,Provisions pour charge de liquidation,Voorz. voor vereffeningskosten,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
165460,0,Provisions pour départ de personnel,Voorz. voor personeelspremies,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
165490,0,Provisions pr pertes/titres vendus à t.,Voorz. voor verliezen/effecten op termij,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
166,1,Provisions pour charges de commandes,Voorz. voor bestellingskosten,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
166000,0,Provisions pour charges de commandes,Voorz. voor bestellingskosten,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
168,1,Impôts différés,Uitgestelde belastingen,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
168000,0,Impôts différés sur subsides en capital,Uitgest. belast. op kapitaalsubsid.,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
168100,0,Impôts différés /plus-val./immob. Inc.,Uitgest. belast. gereal. meerw. imm. v.,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
