"HID,A,10","HDBK,A,4","HFYEAR,A,5","HMONTH,I,4","HDOCNO,I,4","HORDERNO,I,4","HDBTYPE,A,3","HYEAR,I,4","HCUSSUP,A,10","HDOCDATE,D,4","HDUEDATE,D,4","HREM,A,40","HAMOUNT,$,8","HCURRENCY,A,3","HCURAMN,$,8","HBASE,$,8","HVATCODE,A,10","HTAX,$,8","HTAXND,$,8","HSTATUS,A,1","HMATCHNO,I,4","HCLASS,A,1","HTEMP,L,1","HISCOST,L,1","HORIGIN,A,1","COST_DEPART,A,5","CONVCLASS,A,1","INTUSE1,I,4","COST_PER,A,6","COST_PERS,A,6","COST_MAGASIN,A,10"
130000,DI0,2004,0,20040001,3,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,-25808.900000,,,,,,,,,O,,0,,,,,,,
130000,DI0,2005,0,20050001,3,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,-25808.900000,,,,,,,,,O,,0,,,,,,,
130000,DI1,2002,12,20020010,4,PRI,2002,,2002-12-31,2002-12-31,,-25808.900000,,,,,,,,,,,0,,,,,,,
140000,DI0,2002,0,20020001,3,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,-4957.870000,,,,,,,,,O,,0,,,,,,,
140000,DI0,2002,0,20020001,49,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,-570934.200000,,,,,,,,,R,,0,,,,,,,
140000,DI0,2003,0,20030001,4,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,-283898.020000,,,,,,,,,O,,0,,,,,,,
140000,DI0,2004,0,20040001,4,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,-283898.020000,,,,,,,,,O,,0,,,,,,,
140000,DI0,2005,0,20050001,4,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,-283898.020000,,,,,,,,,O,,0,,,,,,,
140000,DI0,2005,0,20050001,55,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,-5085.220000,,,,,,,,,R,,0,,,,,,,
140000,DI1,2002,12,20020009,1,PRI,2002,,2002-12-31,2002-12-31,,575892.070000,,,,,,,,,,0,0,,,,,,,
140000,DI1,2002,12,20020010,6,PRI,2002,,2002-12-31,2002-12-31,,-283898.020000,,,,,,,,,,,0,,,,,,,
140000,DI2,2001,1,20010003,3,PRI,2001,,2001-01-01,2001-01-01,,-4957.870000,BEF,-200000.000000,,,,,,,,0,0,,,,,,,
141000,DI0,2004,0,20040001,54,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,40041.900000,,,,,,,,,R,,0,,,,,,,
141000,DI0,2005,0,20050001,5,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,40041.900000,,,,,,,,,O,,0,,,,,,,
172100,DI0,2002,0,20020001,4,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,-9056.320000,,,,,,,,,O,,0,,,,,,,
172100,DI0,2003,0,20030001,5,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,-9056.320000,,,,,,,,,O,,0,,,,,,,
172100,DI0,2004,0,20040001,5,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,-9056.320000,,,,,,,,,O,,0,,,,,,,
172100,DI0,2005,0,20050001,6,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,-9056.320000,,,,,,,,,O,,0,,,,,,,
172100,DI2,2001,1,20010003,4,PRI,2001,,2001-01-01,2001-01-01,,-9056.320000,BEF,-365331.000000,,,,,,,,,0,,,,,,,
173000,DI0,2002,0,20020001,5,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,-49578.700000,,,,,,,,,O,,0,,,,,,,
173000,DI0,2003,0,20030001,6,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,-49578.700000,,,,,,,,,O,,0,,,,,,,
173000,DI0,2004,0,20040001,6,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,-49578.700000,,,,,,,,,O,,0,,,,,,,
173000,DI0,2005,0,20050001,7,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,-49578.700000,,,,,,,,,O,,0,,,,,,,
173000,DI2,2001,1,20010003,5,PRI,2001,,2001-01-01,2001-01-01,,-49578.700000,BEF,-2000000.000000,,,,,,,,,0,,,,,,,
200000,DI0,2002,0,20020001,6,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,991.570000,,,,,,,,,O,,0,,,,,,,
200000,DI0,2003,0,20030001,7,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,991.570000,,,,,,,,,O,,0,,,,,,,
200000,DI0,2004,0,20040001,7,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,991.570000,,,,,,,,,O,,0,,,,,,,
200000,DI0,2005,0,20050001,8,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,991.570000,,,,,,,,,O,,0,,,,,,,
200000,DI2,2001,1,20010003,6,PRI,2001,,2001-01-01,2001-01-01,,991.570000,BEF,40000.000000,,,,,,,,,0,,,,,,,
200900,DI0,2002,0,20020001,7,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,-619.730000,,,,,,,,,O,,0,,,,,,,
200900,DI0,2003,0,20030001,8,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,-619.730000,,,,,,,,,O,,0,,,,,,,
200900,DI0,2004,0,20040001,8,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,-619.730000,,,,,,,,,O,,0,,,,,,,
200900,DI0,2005,0,20050001,9,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,-619.730000,,,,,,,,,O,,0,,,,,,,
200900,DI2,2001,1,20010003,7,PRI,2001,,2001-01-01,2001-01-01,,-619.730000,BEF,-25000.000000,,,,,,,,,0,,,,,,,
210900,AMO,2001,12,1,9,PRI,2001,,2001-12-31,2001-12-31,000005:Amortissements 2001,-722.950000,,,,,,,,,,,0,,,,,,,
210900,DI0,2002,0,20020001,8,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,-722.950000,,,,,,,,,O,,0,,,,,,,
210900,DI0,2003,0,20030001,9,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,-722.950000,,,,,,,,,O,,0,,,,,,,
210900,DI0,2004,0,20040001,9,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,-722.950000,,,,,,,,,O,,0,,,,,,,
210900,DI0,2005,0,20050001,10,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,-722.950000,,,,,,,,,O,,0,,,,,,,
221000,A03,2003,1,2003004,2,PUR,2003,COOPERS,2003-01-01,2003-01-01,Batiment 15 Rue du port,400000.000000,,,400000.000000,ESIGD0,0.000000,0.000000,,,,,0,,,,,,,
221000,DI0,2004,0,20040001,10,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,400000.000000,,,,,,,,,O,,0,,,,,,,
221000,DI0,2005,0,20050001,11,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,400000.000000,,,,,,,,,O,,0,,,,,,,
221900,AMO,2003,1,2,7,PRI,2003,,2003-01-31,2003-01-31,000004:,-1666.670000,,,,,,,,,,,0,,,,,,,
221900,AMO,2003,2,3,7,PRI,2003,,2003-02-28,2003-02-28,000004:,-1666.660000,,,,,,,,,,,0,,,,,,,
221900,AMO,2003,3,4,7,PRI,2003,,2003-03-31,2003-03-31,000004:,-1666.670000,,,,,,,,,,,0,,,,,,,
221900,AMO,2003,4,5,7,PRI,2003,,2003-04-30,2003-04-30,000004:,-1666.670000,,,,,,,,,,,0,,,,,,,
221900,AMO,2003,5,6,7,PRI,2003,,2003-05-31,2003-05-31,000004:,-1666.660000,,,,,,,,,,,0,,,,,,,
221900,AMO,2003,6,7,7,PRI,2003,,2003-06-30,2003-06-30,000004:,-1666.670000,,,,,,,,,,,0,,,,,,,
221900,AMO,2003,7,8,7,PRI,2003,,2003-07-31,2003-07-31,000004:,-1666.670000,,,,,,,,,,,0,,,,,,,
221900,AMO,2003,8,9,7,PRI,2003,,2003-08-31,2003-08-31,000004:,-1666.660000,,,,,,,,,,,0,,,,,,,
221900,AMO,2003,9,10,7,PRI,2003,,2003-09-30,2003-09-30,000004:,-1666.670000,,,,,,,,,,,0,,,,,,,
221900,AMO,2003,10,11,7,PRI,2003,,2003-10-31,2003-10-31,000004:,-1666.670000,,,,,,,,,,,0,,,,,,,
221900,AMO,2003,11,12,7,PRI,2003,,2003-11-30,2003-11-30,000004:,-1666.660000,,,,,,,,,,,0,,,,,,,
221900,AMO,2003,12,13,7,PRI,2003,,2003-12-31,2003-12-31,000004:,-1666.670000,,,,,,,,,,,0,,,,,,,
221900,DI0,2004,0,20040001,11,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,-20000.000000,,,,,,,,,O,,0,,,,,,,
221900,DI0,2005,0,20050001,12,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,-20000.000000,,,,,,,,,O,,0,,,,,,,
239000,AMO,2001,12,1,3,PRI,2001,,2001-12-31,2001-12-31,000002:Amortissements 2001,-1487.360000,,,,,,,,,,,0,,,,,,,
239000,DI0,2002,0,20020001,9,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,-1487.360000,,,,,,,,,O,,0,,,,,,,
239000,DI0,2003,0,20030001,10,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,-1487.360000,,,,,,,,,O,,0,,,,,,,
239000,DI0,2004,0,20040001,12,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,-1487.360000,,,,,,,,,O,,0,,,,,,,
239000,DI0,2005,0,20050001,13,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,-1487.360000,,,,,,,,,O,,0,,,,,,,
240010,A01,2001,7,20010048,2,PUR,2001,EUROFOIL,2001-07-30,2001-07-30,EUROFOIL,908.030000,BEF,36630.000000,908.030000,NSGSD21,190.680000,0.000000,,,,,0,,,,,,,
240010,DI0,2002,0,20020001,10,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,3957.120000,,,,,,,,,O,,0,,,,,,,
240010,DI0,2003,0,20030001,11,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,3957.120000,,,,,,,,,O,,0,,,,,,,
240010,DI0,2004,0,20040001,13,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,3957.120000,,,,,,,,,O,,0,,,,,,,
240010,DI0,2005,0,20050001,14,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,3957.120000,,,,,,,,,O,,0,,,,,,,
240010,DI2,2001,1,20010003,8,PRI,2001,,2001-01-01,2001-01-01,,3049.090000,BEF,123000.000000,,,,,,,,,0,,,,,,,
240020,DI0,2002,0,20020001,11,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,30603.820000,,,,,,,,,O,,0,,,,,,,
240020,DI0,2003,0,20030001,12,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,30603.820000,,,,,,,,,O,,0,,,,,,,
240020,DI0,2004,0,20040001,14,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,30603.820000,,,,,,,,,O,,0,,,,,,,
240020,DI0,2005,0,20050001,15,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,30603.820000,,,,,,,,,O,,0,,,,,,,
240020,DI2,2001,1,20010003,9,PRI,2001,,2001-01-01,2001-01-01,,30603.820000,BEF,1234555.000000,,,,,,,,,0,,,,,,,
240100,A03,2003,2,2003006,2,PUR,2003,DELL,2003-02-15,2003-04-30,10 Postes d'encodages,10000.000000,,,10000.000000,NSID 21,2100.000000,0.000000,,,,,0,,,,,,,
240100,DI0,2004,0,20040001,15,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,10000.000000,,,,,,,,,O,,0,,,,,,,
240100,DI0,2005,0,20050001,16,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,10000.000000,,,,,,,,,O,,0,,,,,,,
240110,A03,2003,1,2003003,2,PUR,2003,VANBREDA,2003-01-31,2003-01-31,Photocopieuse Minolta,561.980000,,,561.980000,NSID 21,118.020000,0.000000,,,,,0,,,,,,,
240110,A03,2003,2,2003006,3,PUR,2003,DELL,2003-02-15,2003-04-30,1 Serveur,10661.160000,,,10661.160000,NSID 21,2238.840000,0.000000,,,,,0,,,,,,,
240110,DI0,2004,0,20040001,16,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,11223.140000,,,,,,,,,O,,0,,,,,,,
240110,DI0,2005,0,20050001,17,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,11223.140000,,,,,,,,,O,,0,,,,,,,
240900,AMO,2001,12,1,5,PRI,2001,,2001-12-31,2001-12-31,000003:Amortissements 2001,-743.680000,,,,,,,,,,,0,,,,,,,
240900,AMO,2001,12,1,7,PRI,2001,,2001-12-31,2001-12-31,000004:Amortissements 2001,-2091.600000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,1,2,5,PRI,2003,,2003-01-31,2003-01-31,000003:,-6.060000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,2,3,5,PRI,2003,,2003-02-28,2003-02-28,000003:,-6.050000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,2,3,11,PRI,2003,,2003-02-28,2003-02-28,000006:,-318.800000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,2,3,13,PRI,2003,,2003-02-28,2003-02-28,000007:,-339.880000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,3,4,5,PRI,2003,,2003-03-31,2003-03-31,000003:,-6.060000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,3,4,11,PRI,2003,,2003-03-31,2003-03-31,000006:,-318.810000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,3,4,13,PRI,2003,,2003-03-31,2003-03-31,000007:,-339.890000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,4,5,5,PRI,2003,,2003-04-30,2003-04-30,000003:,-6.050000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,4,5,11,PRI,2003,,2003-04-30,2003-04-30,000006:,-318.800000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,4,5,13,PRI,2003,,2003-04-30,2003-04-30,000007:,-339.880000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,5,6,5,PRI,2003,,2003-05-31,2003-05-31,000003:,-6.060000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,5,6,11,PRI,2003,,2003-05-31,2003-05-31,000006:,-318.810000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,5,6,13,PRI,2003,,2003-05-31,2003-05-31,000007:,-339.880000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,6,7,5,PRI,2003,,2003-06-30,2003-06-30,000003:,-6.060000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,6,7,11,PRI,2003,,2003-06-30,2003-06-30,000006:,-318.800000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,6,7,13,PRI,2003,,2003-06-30,2003-06-30,000007:,-339.880000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,7,8,5,PRI,2003,,2003-07-31,2003-07-31,000003:,-6.050000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,7,8,11,PRI,2003,,2003-07-31,2003-07-31,000006:,-318.810000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,7,8,13,PRI,2003,,2003-07-31,2003-07-31,000007:,-339.890000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,8,9,5,PRI,2003,,2003-08-31,2003-08-31,000003:,-6.060000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,8,9,11,PRI,2003,,2003-08-31,2003-08-31,000006:,-318.800000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,8,9,13,PRI,2003,,2003-08-31,2003-08-31,000007:,-339.880000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,9,10,5,PRI,2003,,2003-09-30,2003-09-30,000003:,-6.050000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,9,10,11,PRI,2003,,2003-09-30,2003-09-30,000006:,-318.810000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,9,10,13,PRI,2003,,2003-09-30,2003-09-30,000007:,-339.880000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,10,11,5,PRI,2003,,2003-10-31,2003-10-31,000003:,-6.060000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,10,11,11,PRI,2003,,2003-10-31,2003-10-31,000006:,-318.800000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,10,11,13,PRI,2003,,2003-10-31,2003-10-31,000007:,-339.880000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,11,12,5,PRI,2003,,2003-11-30,2003-11-30,000003:,-6.050000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,11,12,11,PRI,2003,,2003-11-30,2003-11-30,000006:,-318.810000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,11,12,13,PRI,2003,,2003-11-30,2003-11-30,000007:,-339.890000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,12,13,5,PRI,2003,,2003-12-31,2003-12-31,000003:,-6.060000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,12,13,11,PRI,2003,,2003-12-31,2003-12-31,000006:,-318.800000,,,,,,,,,,,0,,,,,,,
240900,AMO,2003,12,13,13,PRI,2003,,2003-12-31,2003-12-31,000007:,-339.880000,,,,,,,,,,,0,,,,,,,
240900,DI0,2002,0,20020001,12,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,-2835.280000,,,,,,,,,O,,0,,,,,,,
240900,DI0,2003,0,20030001,13,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,-2835.280000,,,,,,,,,O,,0,,,,,,,
240900,DI0,2004,0,20040001,17,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,-10153.510000,,,,,,,,,O,,0,,,,,,,
240900,DI0,2005,0,20050001,18,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,-10153.510000,,,,,,,,,O,,0,,,,,,,
240910,DI0,2002,0,20020001,13,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,-321.940000,,,,,,,,,O,,0,,,,,,,
240910,DI0,2003,0,20030001,14,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,-321.940000,,,,,,,,,O,,0,,,,,,,
240910,DI0,2004,0,20040001,18,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,-321.940000,,,,,,,,,O,,0,,,,,,,
240910,DI0,2005,0,20050001,19,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,-321.940000,,,,,,,,,O,,0,,,,,,,
240910,DI2,2001,1,20010003,10,PRI,2001,,2001-01-01,2001-01-01,,-321.940000,BEF,-12987.000000,,,,,,,,,0,,,,,,,
240920,DI0,2002,0,20020001,14,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,-9915.740000,,,,,,,,,O,,0,,,,,,,
240920,DI0,2003,0,20030001,15,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,-9915.740000,,,,,,,,,O,,0,,,,,,,
240920,DI0,2004,0,20040001,19,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,-9915.740000,,,,,,,,,O,,0,,,,,,,
240920,DI0,2005,0,20050001,20,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,-9915.740000,,,,,,,,,O,,0,,,,,,,
240920,DI2,2001,1,20010003,11,PRI,2001,,2001-01-01,2001-01-01,,-9915.740000,BEF,-400000.000000,,,,,,,,,0,,,,,,,
241000,A01,2001,9,20010051,2,PUR,2001,VOLKSWAGEN,2001-09-09,2001-09-09,VOLKSWAGEN,7294.510000,BEF,294260.000000,6601.380000,NSCAR21,1386.290000,693.140000,,,,,0,,,,,,,
241000,A01,2002,1,20020004,2,PUR,2002,VW,2002-01-04,2002-01-04,VW,27392.230000,,,24789.350000,NSCAR21,5205.760000,2602.880000,,0,,0,0,,,,,,,
241000,A03,2003,1,2003001,2,PUR,2003,VW,2003-01-15,2003-02-14,VW,22100.000000,,,20000.000000,NSINV21,4200.000000,2100.000000,,,,,0,,,,,,,
241000,A03,2003,1,2003002,2,PUR,2003,VW,2003-01-30,2003-03-01,Car Kit,292.230000,,,264.460000,NSINV21,55.540000,27.770000,,,,,0,,,,,,,
241000,A03,2004,3,2004001,2,PUR,2004,VW,2004-03-30,2004-04-29,VW,31934.500000,,,28900.000000,NSCAR21,6069.000000,3034.500000,,,,,0,,,,,,,
241000,DI0,2002,0,20020001,15,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,94057.250000,,,,,,,,,O,,0,,,,,,,
241000,DI0,2003,0,20030001,16,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,121449.480000,,,,,,,,,O,,0,,,,,,,
241000,DI0,2004,0,20040001,20,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,143841.710000,,,,,,,,,O,,0,,,,,,,
241000,DI0,2005,0,20050001,21,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,175776.210000,,,,,,,,,O,,0,,,,,,,
241000,DI2,2001,1,20010003,12,PRI,2001,,2001-01-01,2001-01-01,,86762.730000,BEF,3500000.000000,,,,,,,,,0,,,,,,,
241000,PR$,2001,12,101200016,1,PRI,2001,,2001-12-31,2001-12-31,BEF  -> EUR   ORIGINAL BALANS REBUILDING,0.010000,,,,,,,,,E,,0,,,,,,,
241050,A01,2001,7,20010046,2,PUR,2001,CITROEN,2001-07-30,2001-07-30,CITROEN,6601.160000,BEF,266290.000000,6601.160000,NSID 21,1386.250000,0.000000,,,,,0,,,,,,,
241050,A01,2001,12,20010060,2,PUR,2001,PEUGEOT,2001-12-12,2001-12-12,PEUGEOT,91240.040000,BEF,3680614.000000,91240.040000,NSID 21,19160.410000,0.000000,,,,,0,,,,,,,
241050,A01,2002,3,20020023,2,PUR,2002,PEUGEOT,2002-03-22,2002-03-22,PEUGEOT,88593.130000,,,88593.130000,NSID 21,18604.560000,0.000000,,,,,0,,,,,,,
241050,A03,2003,2,2003005,2,PUR,2003,VW,2003-02-15,2003-03-17,Camionette,29223.140000,,,26446.280000,NSINV21,5553.720000,2776.860000,,,,,0,,,,,,,
241050,DI0,2002,0,20020001,16,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,97841.190000,,,,,,,,,O,,0,,,,,,,
241050,DI0,2003,0,20030001,17,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,186434.320000,,,,,,,,,O,,0,,,,,,,
241050,DI0,2004,0,20040001,21,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,215657.460000,,,,,,,,,O,,0,,,,,,,
241050,DI0,2005,0,20050001,22,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,215657.460000,,,,,,,,,O,,0,,,,,,,
241050,PR$,2001,12,101200016,2,PRI,2001,,2001-12-31,2001-12-31,BEF  -> EUR   ORIGINAL BALANS REBUILDING,-0.010000,,,,,,,,,E,,0,,,,,,,
241900,AMO,2001,12,1,1,PRI,2001,,2001-12-31,2001-12-31,000001:Amortissements 2001,-8676.270000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,1,2,1,PRI,2003,,2003-01-31,2003-01-31,000001:,-354.210000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,1,2,3,PRI,2003,,2003-01-31,2003-01-31,000002:,-4.480000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,2,3,1,PRI,2003,,2003-02-28,2003-02-28,000001:,-354.200000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,2,3,3,PRI,2003,,2003-02-28,2003-02-28,000002:,-4.490000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,2,3,9,PRI,2003,,2003-02-28,2003-02-28,000005:,-931.650000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,3,4,1,PRI,2003,,2003-03-31,2003-03-31,000001:,-354.210000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,3,4,3,PRI,2003,,2003-03-31,2003-03-31,000002:,-4.480000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,3,4,9,PRI,2003,,2003-03-31,2003-03-31,000005:,-931.640000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,4,5,1,PRI,2003,,2003-04-30,2003-04-30,000001:,-354.200000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,4,5,3,PRI,2003,,2003-04-30,2003-04-30,000002:,-4.480000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,4,5,9,PRI,2003,,2003-04-30,2003-04-30,000005:,-931.650000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,5,6,1,PRI,2003,,2003-05-31,2003-05-31,000001:,-354.210000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,5,6,3,PRI,2003,,2003-05-31,2003-05-31,000002:,-4.490000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,5,6,9,PRI,2003,,2003-05-31,2003-05-31,000005:,-931.650000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,6,7,1,PRI,2003,,2003-06-30,2003-06-30,000001:,-354.210000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,6,7,3,PRI,2003,,2003-06-30,2003-06-30,000002:,-4.480000,,,,,,,,,,,0,,,,,,,
241900,AMO,2003,6,7,9,PRI,2003,,2003-06-30,2003-06-30,000005:,-931.640000,,,,,,,,,,,0,,,,,,,
