"FYEAR,A,5","YEAR,I,4","MONTH,I,4","STATUS,A,1","ISDEFAULT,L,1","LABEL,A,8","ISCTRLPRINT,L,1","ORIGIN,A,1","CURLEVEL,I,4","SALCLOSED,L,1","PURCLOSED,L,1","CASCLOSED,L,1","PRICLOSED,L,1","CONVERSION,A,1","FXACTIVE,L,1","FXCLOSED,L,1","FXDEPCALC,L,1","FXPRIGEN,L,1","FXNEW,L,1","FXMOD,L,1","FXMODIFYDATE,@,8","FXDEPDATE,@,8","FXPRIDATE,@,8"
2007,2007,2,O,0,02/2007,,,,1,1,1,0,,,0,0,1,0,0,,,2008-01-22 11:29:32
2007,2007,3,O,0,03/2007,,,,1,1,1,0,,,0,1,1,0,0,,2007-06-07 12:15:57,2008-01-22 11:29:32
2007,2007,4,O,0,04/2007,,,,1,1,1,0,,,,0,1,0,0,,,2008-01-22 11:29:32
2007,2007,5,O,0,05/2007,,,,1,1,1,0,,,,0,1,0,0,,,2008-01-22 11:29:32
2007,2007,6,O,0,06/2007,,,,1,1,1,0,,,,1,1,0,0,,2007-08-02 10:11:22,2008-01-22 11:29:32
2007,2007,7,O,0,07/2007,,,,1,1,1,0,,,,0,1,0,0,,,2008-01-22 11:29:32
2007,2007,8,O,0,08/2007,,,,1,1,1,0,,,,0,1,0,0,,,2008-01-22 11:29:32
2007,2007,9,O,0,09/2007,,,,1,1,1,0,,,,1,1,0,0,,2007-11-14 14:44:59,2008-01-22 11:29:32
2007,2007,10,O,0,10/2007,,,,1,1,1,0,,,,1,1,0,0,,2007-11-14 14:51:12,2008-01-22 11:29:32
2007,2007,11,O,0,11/2007,,,,1,1,1,0,,,,0,1,0,0,,,2008-01-22 11:29:32
2007,2007,12,O,0,12/2007,,,,1,1,1,0,,,,1,1,0,0,,2008-01-23 10:45:44,2008-01-22 11:29:32
2008,2008,0,O,0,**/2008,,,,1,1,1,0,,,,1,,0,0,2008-04-25 13:01:09,2008-04-25 13:01:09,
2008,2008,1,O,0,01/2008,,,,1,1,1,0,,,,,1,,,,,2008-04-25 13:02:50
2008,2008,2,O,0,02/2008,,,,1,1,1,0,,,,,1,,,,,2008-04-25 13:02:50
2008,2008,3,O,0,03/2008,,,,1,1,1,0,,,,1,1,0,0,,2008-04-25 13:01:42,2008-04-25 13:02:50
2008,2008,4,O,0,04/2008,,,,1,1,1,0,,,,,,,,,,
2008,2008,5,O,0,05/2008,,,,1,1,1,0,,,,,,,,,,
2008,2008,6,O,0,06/2008,,,,1,1,1,0,,,,,,,,,,
2008,2008,7,O,0,07/2008,,,,0,0,0,0,,,,,,,,,,
2008,2008,8,O,0,08/2008,,,,0,0,0,0,,,,,,,,,,
2008,2008,9,O,0,09/2008,,,,0,0,0,0,,,,,,,,,,
2008,2008,10,O,0,10/2008,,,,0,0,0,0,,,,,,,,,,
2008,2008,11,O,0,11/2008,,,,0,0,0,0,,,,,,,,,,
2008,2008,12,O,0,12/2008,,,,0,0,0,0,,,,,,,,,,
