"DBID,A,4","HEADING1,A,30","HEADING2,A,30","DBACCOUNT,A,10","DBPERN,A,8","DBPERN_1,A,8","DBPERN_2,A,8","DBNODOCN,I,4","DBNODOCN_1,I,4","DBNODOCN_2,I,4","DBDOCCOUNT,I,4","DBDEFYEAR,A,5","DBTYPE,A,3","DBCASCTROL,A,1","DBISUNPOST,L,1","ISWITHVAT,L,1","ISWITHCUR,L,1","DBCURRENCY,A,3","DBDISCOST,A,10","DBDISPROFI,A,10","DBCHACOST,A,10","DBCHAPROFI,A,10","DBINTCOST,A,10","DBINTPROFI,A,10","DBDIFCOST,A,10","DBDIFPROFI,A,10","DBPNLCOST,A,10","DBPNLPROFI,A,10","DBBNKCOST,A,10","DBVATCOST,A,10","DBBEGAMN,$,8","DBENDAMN,$,8","DBVATTYPE,A,1","DBVATNAT1,A,3","DBVATNAT2,A,3","DBVATCMP,N,8","DBMEMO,M,11","DBNKNAME,A,40","DBNKBNKCODE,A,8","DBNKBNKNO,A,20","DBNKQUALIF,A,8","DBNKPAYDBK,A,4","DBNKDOMDBK,A,4","DBNKPAYACC,A,10","DBNKDOMACC,A,10","DBNKINTHEAD,N,8","DBNKINTTRAIL,N,8","DBNKDSKPTH,A,250","DBNKCODAPTH,A,250","DBNKCREDITLIM,$,8","ISIMPORT,L,1","PRIALLOWED,L,1","ISVISIBLE,L,1","ISACTIVE,L,1","ISSHARED,L,1","EXTERNALTYPE,A,10","DBNKIDENTIF,A,16","DBNKINSTFIN,A,3","ISVATI,L,1","NBCONNECT,I,4","ISECOMMERCE,L,1","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","WAREHOUSE,A,5","DBKLINK,A,4","LAYOUT,A,5","LAYOUT2,A,5","LAYOUT3,A,5","LAYOUT4,A,5","LAYOUT5,A,5","LAYOUT6,A,5","NBPRINT,I,4","NBPRINT2,I,4","NBPRINT3,I,4","NBPRINT4,I,4","NBPRINT5,I,4","NBPRINT6,I,4","SHAPECOLOR,I,4","SHAPEWIDTH,I,4","SHAPESTYLE,I,4","SHAPEPENCOLOR,I,4","SHAPEPOS,A,1","SHAPETEXT,A,60","SHAPETEXTALIGN,A,1","SHAPEFNAME,A,30","SHAPEFSIZE,I,4","SHAPEFCOLOR,I,4","SHAPEFBOLD,L,1","SHAPEFITALIC,L,1","SHAPEFUNDERLINE,L,1","SHAPEFSTRIKEOUT,L,1","LAYOUT1,A,5","NBPRINT1,I,4","ONEMORELAYOUT,L,1","ISCASHIER,L,1","CASCUSTID,A,12","CASPRCLIST,A,10","CASPAYMODE1,A,10","CASPAYMODE2,A,10","CASPAYMODE3,A,10","CASDBKTICKET,A,4","CASDBKSAL,A,4","CASDBKIDN,A,4","CASLAYTICKET,A,5","CASLAYSAL,A,5","CASLAYIDN,A,5","CASWAREH,A,5","DEFHEADMSG,A,10","DISCADV,L,1"
FIN,OPERATION DIVERSES,,,,12/2007,,1,3,1,0,2007,PRI,A,0,1,1,,,,,,,,,,,,,,,,,,,0.000000,,CHAMBRE DE COMMERCE DE LIEGE ET VERVIERS,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,0
FORT,FORTIS,FORTIS,550100,07/2008,12/2007,12/2006,61,111,89,0,2008,CAS,A,0,1,1,,,,,,,,,,,,,,13893.230000,13893.230000,N,BSD,GD,21.000000,,Chambre de Commerce de Liège,,001417275383,,,,,,,,G:\DATA\SGBDR\TRUS\VIREMENTS\,G:\DATA\BOB\LV\CODAS\ING\,,0,0,1,1,0,,,001,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,MS Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
ING,ING,ING,550000,08/2008,12/2007,12/2006,152,256,256,0,2008,CAS,A,0,1,0,,,,,,,,,,,,,,131504.000000,131504.000000,N,BSD,GD,21.000000,,Chambre de Commerce de Liège,,340130424218,,,,,,,,G:\DATA\SGBDR\TRUS\VIREMENTS\,G:\DATA\BOB\LV\CODAS\ING\,,0,0,1,1,0,,,340,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,MS Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
ING0,ING00,,550001,,,,1,1,1,0,2004,CAS,A,0,1,1,,,,,,,,,,,,,,0.000000,0.000000,N,BSD,GD,21.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
INTE,SITUTATION INTERMEDIAIRE,,,06/2008,12/2007,12/2006,35,71,40,0,2008,PRI,A,0,1,1,,,,,,,,,,,,,,,,,,,0.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,0
IREG,FORTIS IREG,FORTIS IREG,550120,07/2008,10/2007,10/2006,4,7,8,0,2008,CAS,A,0,1,1,,,,,,,,,,,,,,4905.230000,4905.230000,N,BSD,GD,21.000000,,Chambre de Commerce de Liège,,001417879918,,,,,,,,G:\DATA\SGBDR\TRUS\VIREMENTS\,G:\DATA\BOB\LV\CODAS\FORTIS IREG\,,0,0,1,1,0,,,001,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
JOD,JOURNAL OPERATIONS DIVERSES,JOURNAL OPERATIONS DIVERSES,,06/2008,12/2007,12/2006,158,249,413,0,2008,PRI,A,0,1,1,,,,,,,,,,,,,,,,,,,0.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
NCA,JOURNAL NOTES CREDITS S/ACHATS,JOURNAL NOTES CREDITS S/ACHATS,,06/2008,12/2007,12/2006,43,93,93,0,2008,PUC,A,0,1,1,,,,,,,,,,,,,,,,,,,0.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
NCV,NOTES DE CREDIT S/VENTES,,,07/2008,12/2007,12/2006,800297,700351,600348,,2008,SAC,A,0,1,1,,,,,,,,,,,,,,,,,,,0.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
ODA,OPERATIONS DIVERSES ANALYTIQUE,,,,12/2007,12/2006,1,9,15,0,2007,COP,A,0,1,1,,,,,,,,,,,,,,,,,,,0.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
OUV,JOURNAL D'OUVERTURE,JOURNAL D'OUVERTURE,,**/2008,**/2007,**/2006,20080002,20070002,20060002,0,2008,PRO,A,0,1,1,,,,,,,,,,,,,,,,,,,0.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,MS Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
OUV2,OUVERTURE NLLE ENTITIE,,,,,,1,1,1,0,2004,PRI,A,0,1,1,,,,,,,,,,,,,,,,,,,0.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,0
SOC,JOURNAL SOCIAL,,,06/2008,12/2007,12/2006,13,20,22,1,2008,PRI,A,0,1,0,,,,,,,,,,,,,,,,,,,0.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
TVA,CENTRALISATION TVA,,,,,,1,1,1,0,2005,PRI,A,0,1,1,,,,,,,,,,,,,,,,,,,0.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,0
VEN,JOURNAL DES VENTES,,,07/2008,12/2007,12/2006,804061,706629,606794,0,2008,SAL,A,0,1,1,,,,,,,,,,,,,,,,,,,0.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
