id,name,date_dep,partner_id:id,method,tax_id:id,total_neg
deposit27483,28085,2006-02-21,auction_db.partner3734,keep,,f
deposit26861,27417,2005-09-23,auction_db.partner_unknown,keep,,f
deposit27468,28068,2006-02-17,auction_db.partner585,keep,,f
deposit27222,27754,2005-12-05,auction_db.partner3337,keep,,f
deposit27489,28063,2006-02-21,auction_db.partner3738,keep,,f
deposit27487,28028,2006-02-21,auction_db.partner614,keep,,f
deposit27481,27922,2006-02-20,auction_db.partner3717,keep,,f
deposit27220,27795,2005-12-05,auction_db.partner1191,keep,,f
deposit27488,28079,2006-02-21,auction_db.partner3737,keep,,f
deposit27217,27684,2005-12-05,auction_db.partner3335,keep,,f
deposit27482,28053,2006-02-21,auction_db.partner_unknown,keep,,f
deposit27638,27945,2006-03-18,auction_db.partner3857,keep,,f
deposit27640,28210,2006-03-17,auction_db.partner3829,keep,,f
deposit26863, 27427,2005-09-26,auction_db.partner2901,keep,,f
deposit27539,28122,2006-03-02,auction_db.partner3803,keep,,f
deposit26862,27456,2005-09-26,auction_db.partner2900,keep,,f
deposit27480,28066,2006-02-20,auction_db.partner3732,keep,auction_db.tax5,f
deposit27216,27793,2005-12-05,auction_db.partner3333,keep,,f
deposit27537,28112,2006-03-03,auction_db.partner1871,keep,auction_db.tax5,f
deposit27995,28523,2006-06-20,auction_db.partner4246,keep,,f
deposit27971,28425,2006-06-09,auction_db.partner4207,keep,auction_db.tax5,f
deposit27490,28047,2006-02-21,auction_db.partner649,keep,,f
deposit26868,27469,2005-09-26,auction_db.partner2904,keep,,f
deposit27219,27699,2005-12-05,auction_db.partner996,keep,,f
deposit27643,27886,2006-03-20,auction_db.partner3836,keep,,f
deposit26871,27460,2005-09-25,auction_db.partner544,keep,,f
deposit26869,27279,2005-09-26,auction_db.partner459,keep,,f
deposit27221,27597,2005-12-05,auction_db.partner3336,keep,,f
deposit26864,27463,2005-09-26,auction_db.partner1522,keep,,f
deposit27641,28137,2006-03-20,auction_db.partner3862,keep,,f
deposit27627,27560,2006-03-15,auction_db.partner3187,keep,,f
deposit26867,27281,2005-09-26,auction_db.partner658,keep,,f
deposit27223,27554,2005-12-06,auction_db.partner3339,keep,,f
deposit27225,27767,2005-12-06,auction_db.partner638,keep,,f
deposit26865,27465,2005-09-26,auction_db.partner2903,keep,,f
deposit27540,28120,2006-03-03,auction_db.partner3181,keep,,f
deposit26866,27095,2005-09-26,auction_db.partner2902,keep,,f
deposit28015,28524,2006-06-26,auction_db.partner3717,keep,,f
deposit28014,28525,2006-06-26,auction_db.partner459,keep,,f
deposit26870,27472,2005-09-26,auction_db.partner_unknown,keep,,f
deposit27543,27739,2006-03-03,auction_db.partner3804,keep,,f
deposit27226,27783,2005-12-06,auction_db.partner3340,keep,,f
deposit27644,28216,2006-03-21,auction_db.partner_unknown,keep,,f
deposit27546,28121,2006-03-03,auction_db.partner3807,keep,auction_db.tax5,f
deposit26849,27419,2005-09-21,auction_db.partner2889,keep,auction_db.tax5,f
deposit28018,28576,2006-06-27,auction_db.partner941,keep,,f
deposit27847,28401,2006-05-11,auction_db.partner4076,keep,,f
deposit26873,27473,2005-09-26,auction_db.partner2906,keep,,f
deposit27227,27801,2005-12-06,auction_db.partner671,keep,,f
deposit27544,25736,2006-03-03,auction_db.partner1599,keep,,f
deposit26886,26733,2005-09-26,auction_db.partner517,keep,,f
deposit27645,28202,2006-03-21,auction_db.partner3863,keep,,f
deposit26881,27480,2005-09-26,auction_db.partner35,keep,auction_db.tax5,f
deposit26883,27457,2005-09-26,auction_db.partner1174,keep,,f
deposit27647,28077,2006-03-21,auction_db.partner3864,keep,,f
deposit26877,27197,2005-09-26,auction_db.partner658,keep,,f
deposit26884,27435,2005-09-19,auction_db.partner2909,keep,auction_db.tax5,f
deposit26876,27466,2005-09-26,auction_db.partner2908,keep,,f
deposit26882,27437,2005-09-26,auction_db.partner544,keep,auction_db.tax5,f
deposit27228,27749,2005-12-06,auction_db.partner3342,keep,,f
deposit27646,28215,2006-03-21,auction_db.partner182,keep,,f
deposit27649,28110,2006-03-21,auction_db.partner3717,keep,,f
deposit26756,27274,2005-08-23,auction_db.partner2675,keep,,f
deposit27229,27802,2005-12-07,auction_db.partner3070,keep,,f
deposit27548,28126,2006-03-03,auction_db.partner3808,keep,,f
deposit27549,28128,2006-03-06,auction_db.partner1524,keep,,f
deposit26880,27453,2005-09-26,auction_db.partner2156,keep,auction_db.tax5,f
deposit26879,27325,2005-09-26,auction_db.partner1972,keep,,f
deposit27648,28103,2006-03-21,auction_db.partner744,keep,,f
deposit26887,27443,2005-09-22,auction_db.partner372,keep,auction_db.tax5,f
deposit29366,29998,2007-06-13,auction_db.partner1362,keep,,f
deposit29324,29927,2007-05-30,auction_db.partner7565,keep,,f
deposit29367,29997,2007-06-13,auction_db.partner8392,keep,,f
deposit26893,27222,2005-09-27,auction_db.partner2910,keep,,f
deposit27652,28218,2006-03-21,auction_db.partner1524,keep,,f
deposit27555,28134,2006-03-06,auction_db.partner3812,keep,,f
deposit27553,28135,2006-03-06,auction_db.partner2043,keep,,f
deposit26888,27359,2005-09-05,auction_db.partner2739,keep,auction_db.tax5,f
deposit27552,27302,2006-03-06,auction_db.partner1599,keep,,f
deposit27653,28094,2006-03-21,auction_db.partner1096,keep,,f
deposit27554,28132,2006-03-06,auction_db.partner3810,keep,,f
deposit28024,28555,2006-06-28,auction_db.partner638,keep,,f
deposit94,24898,2004-03-18,auction_db.partner229,contact,,t
deposit26891,27373,2005-09-06,auction_db.partner2814,keep,auction_db.tax5,f
deposit27558,28140,2006-03-06,auction_db.partner1381,keep,,f
deposit28006,28629,2006-06-26,auction_db.partner916,keep,,f
deposit27232,27777,2005-12-08,auction_db.partner3344,keep,,f
deposit27556,28139,2006-03-06,auction_db.partner3813,keep,,f
deposit27557,28086,2006-03-06,auction_db.partner3717,keep,,f
deposit27560,28136,2006-03-06,auction_db.partner_unknown,keep,,f
deposit28025,28579,2006-06-28,auction_db.partner182,keep,,f
deposit27559,28143,2006-03-06,auction_db.partner3815,keep,,f
deposit27233,27804,2005-12-08,auction_db.partner3345,keep,,f
deposit26892,27483,2005-09-27,auction_db.partner2582,keep,,f
deposit26890,27369,2005-09-27,auction_db.partner359,keep,,f
deposit29325,29931,2007-05-31,auction_db.partner8530,keep,,f
deposit27980,28545,2006-06-16,auction_db.partner4241,keep,,f
deposit26894,27447,2005-09-27,auction_db.partner2911,keep,,f
deposit26899,27255,2005-09-27,auction_db.partner500,keep,,f
deposit27568,28127,2006-03-07,auction_db.partner226,keep,,f
deposit26897,27486,2005-09-27,auction_db.partner_unknown,keep,,f
deposit28029,28580,2006-06-28,auction_db.partner856,keep,,f
deposit27999,28572,2006-06-21,auction_db.partner35,keep,,f
deposit26896,27252,2005-09-27,auction_db.partner1399,keep,,f
deposit27567,28149,2006-03-07,auction_db.partner1507,keep,,f
deposit27565,28147,2006-03-07,auction_db.partner35,keep,,f
deposit27566,28100,2006-03-07,auction_db.partner3824,keep,,f
deposit27961,28486,2006-06-07,auction_db.partner4200,keep,,f
deposit27851,28415,2006-05-11,auction_db.partner2400,keep,,f
deposit26900,27254,2005-09-27,auction_db.partner468,keep,,f
deposit27236,27799,2005-12-10,auction_db.partner2584,keep,,f
deposit27979,28546,2006-06-16,auction_db.partner122,keep,,f
deposit29368,30002,2007-06-13,auction_db.partner8589,keep,,f
deposit26901,24570,2005-09-27,auction_db.partner14,keep,,f
deposit27897,28484,2006-05-29,auction_db.partner755,keep,,f
deposit29369,30000,2007-06-13,auction_db.partner2162,keep,,f
deposit28021,28446,2006-06-27,auction_db.partner1972,keep,,f
deposit26902,25878,2005-09-27,auction_db.partner2914,keep,,f
deposit26903,27476,2005-09-27,auction_db.partner2915,keep,,f
deposit28034,28595,2006-07-07,auction_db.partner102,keep,,f
deposit28044,28589,2006-07-11,auction_db.partner3708,keep,,f
deposit27621,27958,2006-03-14,auction_db.partner4078,keep,,f
deposit27632,28191,2006-03-16,auction_db.partner3854,keep,,f
deposit26904,27454,2005-09-27,auction_db.partner2916,keep,,f
deposit27574,28083,2006-03-08,auction_db.partner359,keep,,f
deposit27571,27893,2006-03-08,auction_db.partner3827,keep,,f
deposit28045,28587,2006-07-11,auction_db.partner2073,keep,,f
deposit28016,28578,2006-06-26,auction_db.partner_unknown,keep,,f
deposit28051,28034,2006-07-12,auction_db.partner4308,keep,,f
deposit641,24352,2004-05-13,auction_db.partner_unknown,contact,,t
deposit1162,24165,2004-07-07,auction_db.partner_unknown,contact,,t
deposit1103,25260,2004-06-18,auction_db.partner_unknown,contact,,t
deposit1078,25741,2004-06-17,auction_db.partner_unknown,contact,,t
deposit719,25700,2004-05-30,auction_db.partner_unknown,contact,,t
deposit657,25877,2004-05-19,auction_db.partner_unknown,contact,,t
deposit822,25662,2004-06-02,auction_db.partner_unknown,contact,,t
deposit1035,25661,2004-06-06,auction_db.partner_unknown,contact,,t
deposit343,25187,2004-04-21,auction_db.partner_unknown,contact,,t
deposit1477,26065,2004-09-22,auction_db.partner_unknown,contact,,t
deposit1098,24288,2004-06-18,auction_db.partner_unknown,contact,,t
deposit26905,27479,2005-09-28,auction_db.partner452,keep,,f
deposit29326,29957,2007-05-31,auction_db.partner3985,keep,auction_db.tax5,f
deposit27573,27714,2006-03-08,auction_db.partner3129,keep,,f
deposit27572,27987,2006-03-08,auction_db.partner2909,keep,,f
deposit29370,29553,2007-06-13,auction_db.partner7731,keep,auction_db.tax5,f
deposit1076,25860,2004-06-16,auction_db.partner600,contact,,t
deposit26909,27256,2005-09-28,auction_db.partner2920,keep,,f
deposit27577,28154,2006-03-08,auction_db.partner3829,keep,,f
deposit27575,28071,2006-03-08,auction_db.partner3828,keep,,f
deposit27246,27792,2005-12-02,auction_db.partner3398,keep,auction_db.tax5,f
deposit27241,27764,2005-11-28,auction_db.partner3392,keep,auction_db.tax5,f
deposit27244,27773,2005-12-14,auction_db.partner3394,keep,,f
deposit27242,27775,2005-11-29,auction_db.partner505,keep,auction_db.tax5,f
deposit26907,27499,2005-09-28,auction_db.partner_unknown,keep,,f
deposit26906,27425,2005-09-28,auction_db.partner_unknown,keep,,f
deposit27238,27808,2005-12-13,auction_db.partner_unknown,keep,,f
deposit27561,28125,2006-03-07,auction_db.partner_unknown,keep,,f
deposit1090,25383,2004-06-17,auction_db.partner_unknown,contact,,t
deposit239,24084,2004-04-01,auction_db.partner_unknown,contact,,t
deposit24435,24435,2004-03-10,auction_db.partner_unknown,contact,,t
deposit1338,25970,2004-09-03,auction_db.partner_unknown,contact,,t
deposit349,25636,2004-04-22,auction_db.partner_unknown,contact,,t
deposit1475,26063,2004-09-22,auction_db.partner_unknown,contact,,t
deposit26261,26626,2005-03-15,auction_db.partner_unknown,contact,,t
deposit27642,28211,2006-03-20,auction_db.partner_unknown,keep,,f
deposit24802,24802,2004-03-10,auction_db.partner_unknown,contact,,t
deposit26912,27501,2005-09-28,auction_db.partner1724,keep,,f
deposit27247,27787,2005-12-14,auction_db.partner3399,keep,auction_db.tax5,f
deposit27578,28164,2006-03-08,auction_db.partner1078,keep,,f
deposit26910,27418,2005-09-28,auction_db.partner2921,keep,,f
deposit27204,27566,2005-12-01,auction_db.partner3328,keep,,f
deposit59,25087,2004-03-15,auction_db.partner_unknown,contact,,t
deposit26911,27500,2005-09-28,auction_db.partner2922,keep,,f
deposit287,25637,2004-04-20,auction_db.partner_unknown,contact,,t
deposit26895,27485,2005-09-27,auction_db.partner_unknown,keep,,f
deposit27564,27665,2006-03-07,auction_db.partner_unknown,keep,,f
deposit271,25519,2004-04-08,auction_db.partner_unknown,contact,,t
deposit27542,28123,2006-03-03,auction_db.partner_unknown,keep,,f
deposit353,25217,2004-01-29,auction_db.partner_unknown,contact,,t
deposit389,25682,2004-04-28,auction_db.partner_unknown,contact,,t
deposit409,25058,2004-04-29,auction_db.partner_unknown,contact,,t
deposit859,25801,2004-06-02,auction_db.partner_unknown,contact,,t
deposit155,25577,2004-03-25,auction_db.partner_unknown,contact,,t
deposit281,25384,2004-04-09,auction_db.partner_unknown,contact,,t
deposit26144,26690,2005-02-21,auction_db.partner_unknown,contact,,t
deposit27215,27608,2005-12-05,auction_db.partner_unknown,keep,,f
deposit1028,21862,2004-06-06,auction_db.partner_unknown,contact,,t
deposit26914,27308,2005-09-28,auction_db.partner_unknown,keep,,f
deposit1342,25996,2004-09-03,auction_db.partner_unknown,contact,,t
deposit28054,28506,2006-07-14,auction_db.partner4312,keep,,f
deposit27580,28156,2006-03-08,auction_db.partner1416,keep,,f
deposit27935,28505,2006-06-01,auction_db.partner4157,keep,,f
deposit28056,28602,2006-07-14,auction_db.partner1112,keep,,f
deposit27248,27814,2005-12-15,auction_db.partner1323,keep,,f
deposit693,25267,2004-05-29,auction_db.partner_unknown,contact,,t
deposit1045,25666,2004-06-06,auction_db.partner_unknown,contact,,t
deposit404,24980,2004-04-29,auction_db.partner_unknown,contact,,t
deposit27460,27995,2006-02-16,auction_db.partner_unknown,keep,,f
deposit305,24892,2004-04-21,auction_db.partner_unknown,contact,,t
deposit25601,26219,2004-10-16,auction_db.partner_unknown,contact,,t
deposit26913,26991,2005-09-28,auction_db.partner2677,keep,auction_db.tax5,f
deposit26908,27498,2005-09-28,auction_db.partner_unknown,keep,,f
deposit1391,26028,2004-09-10,auction_db.partner_unknown,contact,,t
deposit1159,23340,2004-07-07,auction_db.partner_unknown,contact,,t
deposit1096,25159,2004-06-18,auction_db.partner_unknown,contact,,t
deposit203,25581,2004-03-26,auction_db.partner_unknown,contact,,t
deposit28049,28540,2006-07-12,auction_db.partner3717,keep,,f
deposit337,25272,2004-04-21,auction_db.partner_unknown,contact,,t
deposit26085,26671,2005-02-09,auction_db.partner_unknown,contact,,t
deposit26342,26941,2005-04-13,auction_db.partner_unknown,contact,,t
deposit25662,26290,2004-10-30,auction_db.partner_unknown,contact,,t
deposit25827,26420,2004-11-26,auction_db.partner_unknown,contact,,t
deposit28060,28608,2006-07-17,auction_db.partner936,keep,,f
deposit27249,27809,2005-12-15,auction_db.partner_unknown,keep,,f
deposit25711,26171,2004-11-04,auction_db.partner1250,contact,auction_db.tax4,t
deposit27581,28167,2006-03-09,auction_db.partner2893,keep,,f
deposit27251,27823,2005-12-15,auction_db.partner243,keep,,f
deposit27250,27818,2005-12-15,auction_db.partner_unknown,keep,,f
deposit27252,27825,2005-12-15,auction_db.partner2315,keep,,f
deposit27407,27990,2006-01-26,auction_db.partner4311,keep,,f
deposit1038,25066,2004-06-06,auction_db.partner_unknown,contact,,t
deposit1034,25663,2004-06-06,auction_db.partner_unknown,contact,,t
deposit853,25667,2004-06-02,auction_db.partner_unknown,contact,,t
deposit27230,27803,2005-12-07,auction_db.partner_unknown,keep,,f
deposit25697,26295,2004-11-03,auction_db.partner_unknown,contact,,t
deposit25551,26128,2004-10-01,auction_db.partner_unknown,contact,,t
deposit1290,25966,2004-09-01,auction_db.partner_unknown,contact,,t
deposit1334,25992,2004-09-03,auction_db.partner_unknown,contact,,t
deposit275,25640,2004-04-09,auction_db.partner_unknown,contact,,t
deposit722,23634,2004-05-30,auction_db.partner_unknown,contact,,t
deposit385,25425,2004-04-28,auction_db.partner_unknown,contact,,t
deposit25687,26203,2004-11-03,auction_db.partner_unknown,contact,,t
deposit25489,25489,2004-03-10,auction_db.partner_unknown,contact,,t
deposit210,25205,2004-03-29,auction_db.partner_unknown,contact,,t
deposit26850,27216,2005-09-22,auction_db.partner2891,keep,,f
deposit25807,26399,2004-11-23,auction_db.partner_unknown,contact,,t
deposit25907,26405,2004-12-23,auction_db.partner_unknown,contact,,t
deposit26915,27496,2005-09-28,auction_db.partner2400,keep,,f
deposit27253,27820,2005-12-15,auction_db.partner3401,keep,,f
deposit24857,24857,2004-03-10,auction_db.partner_unknown,contact,,t
deposit27587,28169,2006-03-09,auction_db.partner3837,keep,,f
deposit27650,28214,2006-03-21,auction_db.partner_unknown,keep,,f
deposit625,25625,2004-05-11,auction_db.partner_unknown,contact,,t
deposit1092,25842,2004-06-17,auction_db.partner_unknown,contact,,t
deposit217,25462,2004-03-30,auction_db.partner_unknown,contact,,t
deposit26872,27459,2005-09-26,auction_db.partner_unknown,keep,,f
deposit1370,26014,2004-09-08,auction_db.partner_unknown,contact,,t
deposit444,25643,2004-04-30,auction_db.partner_unknown,contact,,t
deposit1029,23122,2004-06-06,auction_db.partner_unknown,contact,,t
deposit1446,26042,2004-09-14,auction_db.partner_unknown,contact,,t
deposit27623,27816,2006-03-14,auction_db.partner_unknown,keep,,f
deposit405,24998,2004-04-29,auction_db.partner_unknown,contact,,t
deposit380,25410,2004-04-27,auction_db.partner_unknown,contact,,t
deposit27584,28130,2006-03-09,auction_db.partner_unknown,keep,,f
deposit25947,26539,2005-01-12,auction_db.partner_unknown,contact,,t
deposit27254,27826,2005-12-15,auction_db.partner3235,keep,,f
deposit27583,28166,2006-03-09,auction_db.partner3831,keep,,f
deposit27255,27786,2005-12-15,auction_db.partner3408,keep,auction_db.tax5,f
deposit1214,25913,2004-07-16,auction_db.partner_unknown,contact,,t
deposit25546,25988,2004-09-30,auction_db.partner_unknown,contact,,t
deposit25278,25278,2004-03-10,auction_db.partner_unknown,contact,,t
deposit1456,26036,2004-09-15,auction_db.partner_unknown,contact,,t
deposit25862,26408,2004-12-07,auction_db.partner_unknown,contact,,t
deposit631,25710,2004-05-11,auction_db.partner_unknown,contact,,t
deposit26916,27221,2005-09-29,auction_db.partner2924,keep,,f
deposit27256,27811,2005-12-16,auction_db.partner1568,keep,,f
deposit26917,27146,2005-09-29,auction_db.partner600,keep,,f
deposit27257,27827,2005-12-16,auction_db.partner3411,keep,,f
deposit26612,26146,2005-06-09,auction_db.partner600,keep,,t
deposit26412,26978,2005-05-04,auction_db.partner2383,keep,auction_db.tax5,t
deposit26575,26836,2005-03-08,auction_db.partner1263,keep,,t
deposit1361,26015,2004-09-08,auction_db.partner_unknown,contact,,t
deposit25741,26344,2004-11-10,auction_db.partner_unknown,contact,,t
deposit812,25815,2004-06-02,auction_db.partner_unknown,contact,,t
deposit26574,27144,2005-06-02,auction_db.partner_unknown,keep,,t
deposit25977,26573,2005-01-19,auction_db.partner1263,contact,,t
deposit26613,27177,2005-06-09,auction_db.partner2527,keep,auction_db.tax5,t
deposit26330,26906,2005-04-11,auction_db.partner1033,contact,,t
deposit27585,27869,2006-03-09,auction_db.partner3834,keep,,f
deposit28053,28607,2006-07-13,auction_db.partner4309,keep,,f
deposit1237,25772,2004-05-24,auction_db.partner_unknown,contact,,t
deposit27258,27573,2005-12-19,auction_db.partner658,keep,,f
deposit26918,27399,2005-09-29,auction_db.partner2925,keep,,f
deposit28046,28606,2006-07-11,auction_db.partner585,keep,,f
deposit718,25819,2004-05-30,auction_db.partner_unknown,contact,,t
deposit25634,26221,2004-10-21,auction_db.partner_unknown,contact,,t
deposit630,25709,2004-05-11,auction_db.partner_unknown,contact,,t
deposit27590,28146,2006-03-09,auction_db.partner_unknown,keep,,f
deposit27591,28171,2006-03-09,auction_db.partner306,keep,,f
deposit27588,28173,2006-03-09,auction_db.partner1683,keep,,f
deposit27589,28172,2006-03-09,auction_db.partner2044,keep,,f
deposit27592,28115,2006-03-09,auction_db.partner3799,keep,,f
deposit27259,27848,2005-12-19,auction_db.partner459,keep,,f
deposit27262,27835,2005-12-19,auction_db.partner_unknown,keep,,f
deposit25858,26456,2004-12-06,auction_db.partner_unknown,contact,,t
deposit26920,27430,2005-09-29,auction_db.partner2926,keep,,f
deposit329,25255,2004-04-21,auction_db.partner_unknown,contact,,t
deposit620,25085,2004-05-10,auction_db.partner_unknown,contact,,t
deposit1278,23347,2004-08-26,auction_db.partner_unknown,contact,,t
deposit1187,25898,2004-07-08,auction_db.partner_unknown,contact,,t
deposit130,25530,2004-03-23,auction_db.partner_unknown,contact,,t
deposit27260,27834,2005-12-19,auction_db.partner3142,keep,,f
deposit26976,27568,2005-10-18,auction_db.partner_unknown,keep,,f
deposit28033,28590,2006-07-07,auction_db.partner4300,keep,,f
deposit33,23793,2004-03-11,auction_db.partner_unknown,contact,,t
deposit1209,19603,2004-07-14,auction_db.partner_unknown,contact,,t
deposit1206,19625,2004-07-13,auction_db.partner_unknown,contact,,t
deposit27261,27821,2005-12-19,auction_db.partner453,keep,,f
deposit26921,27493,2005-09-29,auction_db.partner2927,keep,,f
deposit1283,25939,2004-08-25,auction_db.partner_unknown,contact,,t
deposit418,25711,2004-04-30,auction_db.partner_unknown,contact,,t
deposit27593,28157,2006-03-09,auction_db.partner3832,keep,,f
deposit25725,26306,2004-11-06,auction_db.partner_unknown,contact,,t
deposit25530,26106,2004-09-28,auction_db.partner_unknown,contact,,t
deposit206,24839,2004-03-29,auction_db.partner_unknown,contact,,t
deposit27550,28114,2006-03-06,auction_db.partner1727,keep,,f
deposit1234,25920,2004-08-09,auction_db.partner710,contact,,t
deposit27594,28151,2006-03-10,auction_db.partner3839,keep,,f
deposit26922,27257,2005-09-29,auction_db.partner2928,keep,,f
deposit27264,27836,2005-12-19,auction_db.partner1738,keep,,f
deposit25202,25202,2004-03-10,auction_db.partner_unknown,contact,,t
deposit25913,26507,2004-12-29,auction_db.partner_unknown,contact,,t
deposit26214,26812,2005-03-02,auction_db.partner_unknown,contact,,t
deposit25897,26260,2004-12-21,auction_db.partner_unknown,contact,,t
deposit1314,25972,2004-09-01,auction_db.partner_unknown,contact,,t
deposit1043,25752,2004-06-06,auction_db.partner_unknown,contact,,t
deposit27969,28533,2006-06-08,auction_db.partner4234,keep,,f
deposit28047,28598,2006-07-11,auction_db.partner4315,keep,,f
deposit28063,28610,2006-07-17,auction_db.partner226,keep,,f
deposit28052,28199,2006-07-13,auction_db.partner1972,keep,,f
deposit28036,28597,2006-07-07,auction_db.partner4302,keep,,f
deposit27597,28087,2006-03-10,auction_db.partner_unknown,keep,,f
deposit26923,27484,2005-09-29,auction_db.partner243,keep,,f
deposit29327,29788,2007-06-02,auction_db.partner8531,keep,auction_db.tax5,f
deposit27595,28176,2006-03-09,auction_db.partner3441,keep,,f
deposit27819,28376,2006-05-06,auction_db.partner4321,keep,,f
deposit28035,28585,2006-07-07,auction_db.partner4301,keep,,f
deposit27266,27839,2005-12-19,auction_db.partner634,keep,,f
deposit27596,28175,2006-03-10,auction_db.partner3840,keep,,f
deposit26924,27253,2005-09-29,auction_db.partner1395,keep,,f
deposit29371,29994,2007-06-14,auction_db.partner8590,keep,,f
deposit348,24761,2004-04-22,auction_db.partner_unknown,contact,,t
deposit27598,28133,2006-03-10,auction_db.partner_unknown,keep,,f
deposit27267,27817,2005-12-20,auction_db.partner3413,keep,,f
deposit29328,29958,2007-06-02,auction_db.partner8532,keep,auction_db.tax5,f
deposit26925,24086,2005-09-30,auction_db.partner169,keep,auction_db.tax5,f
deposit27268,27656,2005-12-21,auction_db.partner3347,keep,,f
