lang,website,name,comment,category_id:id,domiciliation_bool,domiciliation,ref,id,vat
nl_NL,,BAXTER TRAVENOL NV,,base.res_partner_category_8,,,BAXTER_TRA,BAXTER TRAVENOL NV,0403093693
nl_NL,,BAYER NV KRUISSCHANS,,,,,BAYER,BAYER NV KRUISSCHANS,0404754571
nl_NL,,BECKERS ESSEN NV,,base.res_partner_category_0,,,BECKERS,BECKERS ESSEN NV,0407225893
nl_NL,,BEKAERT NV,,base.res_partner_category_8,,,BEKAERT,BEKAERT NV,0405412983
fr_FR,,BELGACOM,,base.res_partner_category_8,,,BELGA,BELGACOM,0202239951
nl_NL,,BELGACOM MOBILE SA,,,,,BELGACOMM,BELGACOM MOBILE SA,0453918428
nl_NL,,BELGOMILK - POEDERDIVISIE CV,,base.res_partner_category_0,,,BELGOMILK,BELGOMILK - POEDERDIVISIE CV,0443908919
nl_NL,,BETZ,,base.res_partner_category_8,,,BETZ,BETZ,0407904596
nl_NL,,BMW BELGIUM NV,,,,,BMW,BMW BELGIUM NV,0413533863
fr_FR,,USINES GUSTAVE BOEL,,base.res_partner_category_0,,,BOEL,USINES GUSTAVE BOEL,0417374172
nl_NL,,BOLCKMANS NV,,base.res_partner_category_8,,,BOLCKMANS,BOLCKMANS NV,0447785256
fr_FR,,BONPRI - LENTZ MARCHE,,,,,BONPRI,BONPRI - LENTZ MARCHE,
fr_FR,,Bontrager Bike Material,,base.res_partner_category_8,,,BONTRAGER,Bontrager Bike Material,0404658165
nl_NL,,BOPACK NV,,base.res_partner_category_0,,,BOPACK,BOPACK NV,0406967854
fr_FR,,BP LINALUX SA,,base.res_partner_category_8,,,BP,BP LINALUX SA,0443783314
nl_NL,,BRABO CV,,,,,BRABO,BRABO CV,0404756848
nl_NL,,BRICO BELGIUM,,base.res_partner_category_0,,,BRICO,BRICO BELGIUM,0427572733
nl_NL,,BRIDGESTONE FIRESTONE EUROPE NV,,base.res_partner_category_8,,,BRIDGESTON,BRIDGESTONE FIRESTONE EUROPE NV,0441192820
fr_FR,,BROWNING SA,,,,,BROWNING,BROWNING SA,0430037226
nl_NL,,BUGA ANTWERPEN NV,,base.res_partner_category_0,,,BUGA,BUGA ANTWERPEN NV,0412709462
fr_FR,,BUNDY SA,,base.res_partner_category_8,,,BUNDY,BUNDY SA,0405958163
fr_FR,,Calberson europe,,,,,CAL.E,Calberson europe,
nl_NL,,CALLEBAUT NV,,base.res_partner_category_0,,,CALLEBAUT,CALLEBAUT NV,0438950833
nl_NL,,CARGILL NV,,base.res_partner_category_8,,,CARGILL,CARGILL NV,0420829847
nl_NL,,CARITAS SA,,,,,CARITAS,CARITAS SA,0401940680
en_US,,CARREFOUR,,base.res_partner_category_0,,,CARREFOUR,CARREFOUR,
nl_NL,,CASE BELGIUM NV,,base.res_partner_category_0,,,CASE,CASE BELGIUM NV,0452808866
fr_FR,,CATERPILLAR-BELGIUM,,base.res_partner_category_8,,,CAT,CATERPILLAR-BELGIUM,0401633250
fr_FR,,CHAMBRE DE COMMERCE ET D'INDUSTRIE,,,,,CHAMOSEL,CHAMBRE DE COMMERCE ET D'INDUSTRIE,
fr_FR,,Chauffage Service SA,,base.res_partner_category_8,,,CHAUFF,Chauffage Service SA,0602602602
fr_FR,,CIMENTS DE HACCOURT SA,,base.res_partner_category_0,,,CIMENTSHAC,CIMENTS DE HACCOURT SA,0440309823
nl_NL,,CITROEN BELUX NV,,base.res_partner_category_8,,,CITROEN,CITROEN BELUX NV,0448813060
nl_NL,,FORGES DE CLABECQ,,,,,CLABECQ,FORGES DE CLABECQ,0400346912
nl_NL,,C.M.B. NV,,base.res_partner_category_0,,,CMB,CMB NV,0404507915
nl_NL,,COCCINELLE NV,,base.res_partner_category_8,,,COCCINELLE,COCCINELLE NV,0425718350
fr_FR,,COCKERILL SAMBRE SA,,,,,COCKERILL,COCKERILL SAMBRE SA,0403940662
nl_NL,,COLRUYT NV,,base.res_partner_category_0,,,COLRUYT0,COLRUYT NV,0400378485
nl_NL,,COMBORI NV,,,,,COMBORI,COMBORI NV,0404936002
fr_FR,,Compagnie Fiduciaire,,base.res_partner_category_0,,,COMPFIDU,Compagnie Fiduciaire,45454545
fr_FR,,COOPERS & LYBRAND,,base.res_partner_category_8,,,COOPERS,COOPERS & LYBRAND,
fr_FR,,Librairie COPY,,base.res_partner_category_8,,,COPY,Librairie COPY,0459217794
fr_FR,,CORA,,base.res_partner_category_0,,,CORA,CORA,0402537726
fr_FR,,CORA SA,,base.res_partner_category_8,,,CORA_SA,CORA SA,0402537726
fr_FR,,COREDIS SA,,,,,COREDIS,COREDIS SA,0431244083
fr_FR,,N. CORMAN SA,,base.res_partner_category_0,,,CORMAN,N CORMAN SA,0402791015
fr_FR,,CREGEM INTERNATIONAL BANK,,base.res_partner_category_8,,,CREGEM,CREGEM INTERNATIONAL BANK,
,,Centre de recherche publique,,,,,CRP,Centre de recherche publique,
fr_FR,,CS-INTERGLAS SA,,base.res_partner_category_0,,,CSINTERGL,CS-INTERGLAS SA,0402264245
nl_NL,,DAF ASSEN- EN CABINEFABRIEK NV,,base.res_partner_category_8,,,DAF_ASSEN,DAF ASSEN- EN CABINEFABRIEK NV,0449372294
nl_NL,,DAF BELGIE NV,,,,,DAF_BELGI,DAF BELGIE NV,0449372294
fr_FR,,DAMBOIS SA,,base.res_partner_category_0,,,DAMBOIS,DAMBOIS SA,0402389850
nl_NL,,DECOSTEEL NV,,base.res_partner_category_8,,,DECOSTEEL,DECOSTEEL NV,0452573195
nl_NL,,DE JOND NV,,,,,DEJOND,DE JOND NV,0404943722
nl_NL,,DE LIJN - VLAAMSE VERVOERMAATSCHAPPIJ NV,,base.res_partner_category_0,,,DELIJN,DE LIJN - VLAAMSE VERVOERMAATSCHAPPIJ NV,0242069537
en_US,,DELL Computer,,base.res_partner_category_8,,,DELL,DELL Computer,0416301828
nl_NL,,DISTRIGAZ NV,,base.res_partner_category_8,,,DISTRIGAZ,DISTRIGAZ NV,0402954628
fr_FR,,DISTRISUD-BELLENS SA,,,,,DISTRISUD,DISTRISUD-BELLENS SA,0404228593
nl_NL,,DU PONT DE NEMOURS-BELGIUM,,base.res_partner_category_0,,,DUPONT,DU PONT DE NEMOURS-BELGIUM,0400837058
nl_NL,,DURACELL BATTERIES NV,,base.res_partner_category_8,,,DURACELL,DURACELL BATTERIES NV,0400959891
en_US,,EASYNET Belgium,,base.res_partner_category_8,,,EASY,EASYNET Belgium,0466025612
fr_FR,,ECCO LUXEMBOURG S.A.,,,,,ECCO,ECCO LUXEMBOURG SA,
fr_FR,,EDITIONS EDUSOFT,,base.res_partner_category_0,,,EDUSOFT,EDITIONS EDUSOFT,44444444444
en_US,,ELECTRABEL,,base.res_partner_category_8,,,ELECTRABEL,ELECTRABEL,0403170701
fr_FR,,CENTRE TECHN. DE RECH. LE PONANT,,base.res_partner_category_8,,,EPARCO,CENTRE TECHN DE RECH LE PONANT,
nl_NL,,ERAN PARTYRENT NV,,,,,ERAN,ERAN PARTYRENT NV,0446732213
nl_NL,,ERIKS NV,,base.res_partner_category_0,,,ERIKS,ERIKS NV,0402956608
fr_FR,,ETIMINE S.A.,,base.res_partner_category_8,,,ETIMINE,ETIMINE SA,
fr_FR,,EUPENER GENOSSENSCHAFTMOLKEREI SC,,,,,EUPENER,EUPENER GENOSSENSCHAFTMOLKEREI SC,0402331650
fr_FR,,EUROCOMPTES,,base.res_partner_category_0,,,EUROCOMP,EUROCOMPTES,
fr_FR,,EUROFOIL BELGIUM SA,,base.res_partner_category_8,,,EUROFOIL,EUROFOIL BELGIUM SA,0406017056
fr_FR,,EUROPHOS SA,,,,,EUROPHOS,EUROPHOS SA,0447599570
nl_NL,,EURO DIAMOND DISTRIBUTORS NV,,base.res_partner_category_0,,,EURO_DIAMO,EURO DIAMOND DISTRIBUTORS NV,0435950959
fr_FR,,FABRIQUE DE FER DE CHARLER,,base.res_partner_category_8,,,FAB_FER,FABRIQUE DE FER DE CHARLER,0422027402
fr_FR,,Société de Factoring,,base.res_partner_category_8,,,FACTOR,Société de Factoring,
,,FIDUCIERE CENTRALE,,,,,FIDCENT,FIDUCIERE CENTRALE,
fr_FR,,FIDUCIAIRE GENERALE,,base.res_partner_category_0,,,FIDGENER,FIDUCIAIRE GENERALE,
nl_NL,,FINA EUROPE NV,,base.res_partner_category_8,,,FINA,FINA EUROPE NV,0403063902
nl_NL,,FINA NV,,,,,FINA_NV,FINA NV,0403063902
nl_NL,,FINA RAFFINADERIJ ANTWERPEN NV,,base.res_partner_category_0,,,FINA_RAFF,FINA RAFFINADERIJ ANTWERPEN NV,0404586901
fr_FR,,First Business Media,,base.res_partner_category_8,,,FIRSTBUS,First Business Media,
fr_FR,,FORCAST BELGIUM (EX OSB CY) SA,,,,,FORCAST,FORCAST BELGIUM (EX OSB CY) SA,0403970356
nl_NL,,FORD,,base.res_partner_category_0,,,FORD,FORD,0404955204
fr_FR,,FRITSCH & GROZINGER,,base.res_partner_category_8,,,FRITSCH,FRITSCH & GROZINGER,
fr_FR,,SOCIETE DE TRAVAUX GALERE SA,,,,,GALERE,SOCIETE DE TRAVAUX GALERE SA,0403887808
fr_FR,,GEC ALSTHOM T&D BALTEAU SA,,base.res_partner_category_0,,,GEC_ALSTH,GEC ALSTHOM T&D BALTEAU SA,0434244749
fr_FR,,GENERALIFE,,base.res_partner_category_8,,,GENELIFE,GENERALIFE,
fr_FR,,GEORGE & CIE SA,,,,,GEORGE,GEORGE & CIE SA,0403888501
nl_NL,,GIRAFFE BELGIE NV,,base.res_partner_category_0,,,GIRAFFE,GIRAFFE BELGIE NV,0435215937
nl_NL,,GOLDATA NV,,base.res_partner_category_8,,,GOLDATA,GOLDATA NV,0427073578
nl_NL,,GOSSELIN WORLD WIDE MOVING NV,,,,,GOSSELIN,GOSSELIN WORLD WIDE MOVING NV,0425051129
en_US,,GSPORT,,base.res_partner_category_0,,,GSPORT,GSPORT,
nl_NL,,GUICHET DE L'ENERGIE ASBL,,base.res_partner_category_0,,,GUICHETENE,GUICHET DE L'ENERGIE ASBL,0223721293
fr_FR,,G-MEDI SC,,base.res_partner_category_8,,,G_MEDI,G-MEDI SC,0402307894
fr_FR,,HESBAYEFROST SA,,,,,HESBAYEFRO,HESBAYEFROST SA,0427405457
fr_FR,,HEXCEL SA,,base.res_partner_category_0,,,HEXCEL,HEXCEL SA,0402459235
nl_NL,,HOECHST CELANESE NV,,base.res_partner_category_8,,,HOECHST,HOECHST CELANESE NV,0403157932
nl_NL,,HONDA EUROPE NV,,,,,HONDA,HONDA EUROPE NV,0418250835
nl_NL,,HOOGOVENS ALUMINIUM,,base.res_partner_category_0,,,HOOGOVENS,HOOGOVENS ALUMINIUM,0403045292
fr_FR,,Dr Huggle & Partner Gmbh,,base.res_partner_category_8,,,HUGGLE,Dr Huggle & Partner Gmbh,
fr_FR,,HYDRO ALUMINIUM RAEREN SA-NV,,,,,HYDRO_ALU,HYDRO ALUMINIUM RAEREN SA-NV,0414931158
,,IBL leasing,,base.res_partner_category_0,,,IBL,IBL leasing,
nl_NL,,IBM EUROPEAN INTERN. SA,,base.res_partner_category_8,,,IBM,IBM EUROPEAN INTERN SA,0405912336
fr_FR,,ICE Commercial Cleaning,,,,,ICE,ICE Commercial Cleaning,
fr_FR,,INTERCOMMUNALE D'ELECTRICITE DU HAINAUT,,base.res_partner_category_0,,,IEH,INTERCOMMUNALE D'ELECTRICITE DU HAINAUT,0223414061
fr_FR,,IMAVOX Corp.,,base.res_partner_category_8,,,IMAVOX,IMAVOX Corp,
nl_NL,,CIE INDEP DES TABACS CINTA,,,,,INDEPTABAC,CIE INDEP DES TABACS CINTA,0401941175
nl_NL,,INDUFOR NV,,base.res_partner_category_0,,,INDUFOR,INDUFOR NV,0414850786
fr_FR,,ING BANK,,base.res_partner_category_8,,,ING BANK,ING BANK,
nl_NL,,INTERC GAS ELECTR VAN HET,,,,,INTERC,INTERC GAS ELECTR VAN HET,0215266160
fr_FR,,INTERCOM. DES PERSONNES AGEES DE LIEGE S,,base.res_partner_category_0,,,INTERCOM,INTERCOM DES PERSONNES AGEES DE LIEGE S,0250610881
nl_NL,,INTERCONTAINER-INTERFRIGO SOCIETE INT. S,,base.res_partner_category_8,,,INTERCONTA,INTERCONTAINER-INTERFRIGO SOCIETE INT S,0403449724
nl_NL,,INTERELECTRA CV,,,,,INTERELECT,INTERELECTRA CV,0201311226
fr_FR,,INTERFIDUCIAIRE,,base.res_partner_category_0,,,INTERFID,INTERFIDUCIAIRE,
nl_NL,,INTERGEM,,base.res_partner_category_8,,,INTERGEM,INTERGEM,0220764971
nl_NL,,INTERGROS CV,,,,,INTERGROS,INTERGROS CV,0415093880
fr_FR,,INTERKOMMUNALE ELEKTRIZITETSGESELLSCHAFT,,base.res_partner_category_0,,,INTERKOMMU,INTERKOMMUNALE ELEKTRIZITETSGESELLSCHAFT,0205843502
fr_FR,,INTRAMET SA,,base.res_partner_category_8,,,INTRAMET,INTRAMET SA,0414089535
fr_FR,,IP LUXEMBOURG,,,,,IPLUXBG,IP LUXEMBOURG,
nl_NL,,IRG PLASTICS,,base.res_partner_category_0,,,IRGPLASTIC,IRG PLASTICS,0404899576
fr_FR,,Isabel S.A.,,base.res_partner_category_8,,,ISABEL,Isabel SA,0456421523
nl_NL,,IVEKA,,base.res_partner_category_8,,,IVEKA,IVEKA,0222030426
nl_NL,,JACOBS-SUCHARD NV,,,,,JACOBS,JACOBS-SUCHARD NV,0402440924
nl_NL,,JANSSEN PHARMACEUTICA NV,,base.res_partner_category_0,,,JANSSEN,JANSSEN PHARMACEUTICA NV,0403834160
fr_FR,,JETAIRE,,base.res_partner_category_8,,,JETAIRE,JETAIRE,
fr_FR,,JIEPIE DESIGN SARL,,,,,JIEPIE,JIEPIE DESIGN SARL,
nl_NL,,KIA BELGIUM,,base.res_partner_category_0,,,KIA,KIA BELGIUM,0418772853
fr_FR,,KOMPASS LUXEMBOURG  EDITUS,,base.res_partner_category_8,,,KOMPASSL,KOMPASS LUXEMBOURG  EDITUS,10178708
fr_FR,,KONE BELGIUM SA,,,,,KONE,KONE BELGIUM SA,0436407453
nl_NL,,KRUIDVAT NV,,base.res_partner_category_0,,,KRUIDVAT,KRUIDVAT NV,0446891668
nl_NL,,KUWAIT PETROLEUM (BELGIUM),,base.res_partner_category_8,,,KUWAIT,KUWAIT PETROLEUM (BELGIUM),0404584525
fr_FR,,LAITERIE R#GIONALE DE HERVE SC,,,,,LAITERIE_H,LAITERIE R#GIONALE DE HERVE SC,0402458938
nl_NL,,LALEMANT AGENCE MARITIME NV,,base.res_partner_category_0,,,LALEMANT,LALEMANT AGENCE MARITIME NV,0404532164
fr_FR,,LAWN COMFORT SA,,base.res_partner_category_8,,,LAWN_COMF,LAWN COMFORT SA,0403926608
nl_NL,,LA POSTE SA,,,,,LA_POSTE,LA POSTE SA,0214596464
fr_FR,,LA COMMANDE ELECTRONIQUE,,base.res_partner_category_0,,,LCE,LA COMMANDE ELECTRONIQUE,45454444444
fr_FR,,LCE GRENOBLE,,base.res_partner_category_8,,,LCEGREN,LCE GRENOBLE,
nl_NL,,L.D.C.I. NV,,,,,LDCI,LDCI NV,0446040444
fr_FR,,MAISON LESSUISE SPRL,,base.res_partner_category_0,,,LESSUISE,MAISON LESSUISE SPRL,0434200506
nl_NL,,LEVER OTARES,,base.res_partner_category_8,,,LEVER_OTAR,LEVER OTARES,0438390312
nl_NL,,LINTOR,,,,,LINTOR,LINTOR,0414795160
fr_FR,,LOBIAL SOGEVAL,,base.res_partner_category_0,,,LOBIAL,LOBIAL SOGEVAL,72574454477
fr_FR,,LOOK and Cie,,base.res_partner_category_8,,,LOOK,LOOK and Cie,0449395951
fr_FR,,LUX CONSEIL INTERNATIONAL S.A.,,base.res_partner_category_8,,,LUXCONSE,LUX CONSEIL INTERNATIONAL SA,
fr_FR,,LYCEE TECHNIQUE NIC BIEVER,,,,,LYCEBIEV,LYCEE TECHNIQUE NIC BIEVER,
fr_FR,,LYCEE TECHNIQUE DE BONNEVOIE,,base.res_partner_category_0,,,LYCEBONE,LYCEE TECHNIQUE DE BONNEVOIE,
fr_FR,,LYCEE TECHNIQUE ETTELBRUCK,,base.res_partner_category_8,,,LYCEETTE,LYCEE TECHNIQUE ETTELBRUCK,
nl_NL,,INTERNATIONAL BUSINESS MAC,,,,,MAC,INTERNATIONAL BUSINESS MAC,0405912336
fr_FR,,ECOLE PRIVEE MARIE-CONSOLATRICE,,base.res_partner_category_0,,,MARIECON,ECOLE PRIVEE MARIE-CONSOLATRICE,
nl_NL,,MARUBENI AUTO - EUROPE NV,,base.res_partner_category_8,,,MARUBENI,MARUBENI AUTO - EUROPE NV,0437061808
fr_FR,,MAS BENELUX SA,,,,,MAS,MAS BENELUX SA,0414251465
fr_FR,,Master lock,,base.res_partner_category_8,,,MASTERLOCK,Master lock,
fr_FR,,MATCH SA,,base.res_partner_category_0,,,MATCH,MATCH SA,0426985288
nl_NL,,F. MATHIEU NV,,base.res_partner_category_8,,,MATHIEU,F MATHIEU NV,0404973614
fr_FR,,MAVIC Belgium SA,,base.res_partner_category_8,,,MAVIC,MAVIC Belgium SA,0439130282
fr_FR,,MERCURE HOLIGOLF HOTEL,,,,,MERCUREH,MERCURE HOLIGOLF HOTEL,
fr_FR,,CHAMBRE DE COMMERCE,,base.res_partner_category_0,,,MERKUR,CHAMBRE DE COMMERCE,
nl_NL,,AGENCE & MESSAGERIES DE LA PRESSE SA,,base.res_partner_category_8,,,MESSAGERIE,AGENCE & MESSAGERIES DE LA PRESSE SA,0403482188
fr_FR,,MESTDAGH SA,,,,,MESTDAGH,MESTDAGH SA,0430140065
nl_NL,,METALLO CHIMIQUE INTERNATIONAL NV,,base.res_partner_category_0,,,METALLO,METALLO CHIMIQUE INTERNATIONAL NV,0424369357
fr_FR,,METAL PROFIL BELGIUM SA,,base.res_partner_category_8,,,METAL_PROF,METAL PROFIL BELGIUM SA,0419318132
fr_FR,,SOLUTION ASNIERES,,,,,METROL7B,SOLUTION ASNIERES,
fr_FR,,METROLOGIE NANTES,,base.res_partner_category_0,,,METROLO1,METROLOGIE NANTES,41674526855
fr_FR,,METROLOGIE,,base.res_partner_category_8,,,METROLO2,METROLOGIE,
fr_FR,,METROLOGIE PARIS,,,,,METROLOP,METROLOGIE PARIS,
fr_FR,,Metrologie Toulouse,,base.res_partner_category_0,,,METROLTO,Metrologie Toulouse,
fr_FR,,SOLUTION NANCY,,base.res_partner_category_8,,,METROSO1,SOLUTION NANCY,
fr_FR,,SOLUTION GRENOBLE,,,,,METROSO2,SOLUTION GRENOBLE,
fr_FR,,SOLUTION RENNES,,base.res_partner_category_0,,,METROSO4,SOLUTION RENNES,
fr_FR,,SOLUTION SOPHIA ANTIPOLIS,,base.res_partner_category_8,,,METROSO5,SOLUTION SOPHIA ANTIPOLIS,
en_US,,Michelin Pneu,,base.res_partner_category_8,,,MICHELIN,Michelin Pneu,0400442526
nl_NL,,MITSUI & Cø BENELUX NV,,,,,MITSUI,MITSUI & Cø BENELUX NV,0407910536
nl_NL,,MONSANTO EUROPE SA,,base.res_partner_category_0,,,MONSANTO,MONSANTO EUROPE SA,0406580943
nl_NL,,MONTELL BELGIUM NV,,base.res_partner_category_8,,,MONTELL,MONTELL BELGIUM NV,0424578896
fr_FR,,GILLES MOURY SA,,,,,MOURY,GILLES MOURY SA,0403907307
fr_FR,,Nalini Import Belgium,,base.res_partner_category_8,,,NALINI,Nalini Import Belgium,0402236531
nl_NL,,NEW HOLLAND BELGIUMNV,,base.res_partner_category_0,,,NEW_HOLLAN,NEW HOLLAND BELGIUMNV,0400444803
nl_NL,,NIKE BELGIUM NV,,base.res_partner_category_8,,,NIKE,NIKE BELGIUM NV,0442048596
nl_NL,,N M B S - BE REIZIGERS INTERNATIONAAL,,,,,NMBS,N M B S - BE REIZIGERS INTERNATIONAAL,
fr_FR,,NORCALLOYS SA,,base.res_partner_category_0,,,NORCALLO,NORCALLOYS SA,
fr_FR,,Notaire Dupuis,,base.res_partner_category_8,,,NOTAIRE,Notaire Dupuis,
nl_NL,,NUTRISI NV,,base.res_partner_category_8,,,NUTRISI,NUTRISI NV,0448871953
fr_FR,,HOTEL ODEON,,,,,ODEON,HOTEL ODEON,
fr_FR,,OMNIS SA,,base.res_partner_category_0,,,OMNISSA,OMNIS SA,
nl_NL,,OPEL BELGIUM NV,,base.res_partner_category_8,,,OPEL,OPEL BELGIUM NV,0404957875
fr_FR,,OPTICAL SYSTEMS,,,,,OPTICAL,OPTICAL SYSTEMS,
fr_FR,,RAFFINERIE NOTRE-DAME / ORAFTI SA,,base.res_partner_category_0,,,ORAFTI,RAFFINERIE NOTRE-DAME / ORAFTI SA,0413631556
fr_FR,,ORDRE DES EXPERTS COMPTABLES,,base.res_partner_category_8,,,ORDEXPLU,ORDRE DES EXPERTS COMPTABLES,
nl_NL,,O S I SPECIALITIES BENELUX NV,,,,,OSI,O S I SPECIALITIES BENELUX NV,0450085839
fr_FR,,OXYBEL SA,,base.res_partner_category_0,,,OXYBEL,OXYBEL SA,0403910176
nl_NL,,PARTEK-ERGON NV,,base.res_partner_category_8,,,PARTEK,PARTEK-ERGON NV,0412962454
fr_FR,,COOPERATIVE PATRONS BOUCHERS,,,,,PATRONS,COOPERATIVE PATRONS BOUCHERS,
fr_FR,,PERSON Xavier,,base.res_partner_category_0,,,PERSON,PERSON Xavier,
nl_NL,,PEUGEOT-TALBOT,,base.res_partner_category_8,,,PEUGEOT,PEUGEOT-TALBOT,0403461107
nl_NL,,LIÔGE PHARMA NV,,,,,PHARMA,LIÔGE PHARMA NV,0419466305
nl_NL,,PHILIP MORRIS BELGIUM NV,,base.res_partner_category_0,,,PHILIPMOR,PHILIP MORRIS BELGIUM NV,0403196039
nl_NL,,PHILIPS LIGHTING,,base.res_partner_category_8,,,PHILIPS,PHILIPS LIGHTING,0422108465
fr_FR,,PHILIPS LUXEMBOURG CONSUMER,,,,,PHILIPSL,PHILIPS LUXEMBOURG CONSUMER,
nl_NL,,PICANOL NV,,base.res_partner_category_0,,,PICANOL,PICANOL NV,0405502362
nl_NL,,PICOLO VANDEPOEL & Cø NV,,base.res_partner_category_8,,,PICOLO,PICOLO VANDEPOEL & Cø NV,0403858906
nl_NL,,PIONEER ELECTRONIC (EUROPE) NV,,,,,PIONEER,PIONEER ELECTRONIC (EUROPE) NV,0406999132
nl_NL,,POWER TOOLS DISTRIBUTION NV,,base.res_partner_category_0,,,POWERTOOLS,POWER TOOLS DISTRIBUTION NV,0443676020
nl_NL,,PROCTER & GAMBLE BENELUX SA,,base.res_partner_category_8,,,PROCTER,PROCTER & GAMBLE BENELUX SA,0402971850
nl_NL,,PRODAC NV,,,,,PRODAC,PRODAC NV,0404981928
nl_NL,,P.S.A. CREDIT BELGIUM SA,,base.res_partner_category_0,,,PSA,PSA CREDIT BELGIUM SA,0417159386
,,PSI SA,,base.res_partner_category_8,,,PSI,PSI SA,
,,P & T,,,,,PT,P & T,15400030
en_US,,Pumas,,base.res_partner_category_8,,,PUMAS,Pumas,
nl_NL,,QUALIPHAR LABORATORIA NV,,base.res_partner_category_0,,,QUALIPHAR,QUALIPHAR LABORATORIA NV,0403086468
nl_NL,,RECO,,base.res_partner_category_8,,,RECO,RECO,0403653325
nl_NL,,RENAULT,,,,,RENAULT,RENAULT,0403463679
nl_NL,,RENAULT INDUSTRIE BELGIQUE SA,,base.res_partner_category_0,,,RENAULT_IN,RENAULT INDUSTRIE BELGIQUE SA,0402645614
en_US,,DIVERS RESTAURANTS,,base.res_partner_category_8,,,RESTAURANT,DIVERS RESTAURANTS,
nl_NL,,GARAGE RIETJE NV,,base.res_partner_category_8,,,RIETJE,GARAGE RIETJE NV,0434718861
fr_FR,,ROM SA,,,,,ROM,ROM SA,0441826783
fr_FR,,Hotel le ROMA,,base.res_partner_category_0,,,ROMA,Hotel le ROMA,
fr_FR,,RTL  INFORMATIQUE,,base.res_partner_category_8,,,RTLINFO,RTL  INFORMATIQUE,
nl_NL,,SABENA,,,,,SABENA,SABENA,0403457543
fr_FR,,SALES KIT SA,,base.res_partner_category_0,,,SALESKIT,SALES KIT SA,A44444444
nl_NL,,SAMENWERKENDE VENNOOTSCHAP VOOR PRODUKTI,,base.res_partner_category_8,,,SAMENWERKE,SAMENWERKENDE VENNOOTSCHAP VOOR PRODUKTI,0219808433
fr_FR,,S C P E,,,,,SCPE,S C P E,0219808433
nl_NL,,SECA NV,,base.res_partner_category_0,,,SECA,SECA NV,0400700961
nl_NL,,SEDEC NV,,base.res_partner_category_8,,,SEDEC,SEDEC NV,0437237396
fr_FR,,Seiko Instruments GmbH,,,,,SEIKO,Seiko Instruments GmbH,
en_US,,Select,,base.res_partner_category_8,,,SELECT,Select,
fr_FR,,SGL CARBON SA,,base.res_partner_category_0,,,SGL_CARBON,SGL CARBON SA,0412060651
