city,fax,zip,partner_id:id,phone,street,country_id:id,type
ZAVENTEM,027238090,BE1930,AUSTRIAN AIRLINES SOET,027238300,BRUSSELS NATIONAL AIRPORT - C/O SABENA H,,default
LIEGE,042233570,BE4000,L'AUXILIAIRE MINIÔRE SA,042220686,RUE SAINT-GEORGES 5-7,,default
ANTWERPEN 4,035612993,BE2040,B A S F ANTWERPEN,035612111,HAV 725SCHELDELAAN 6,,default
BRUSSEL,027021880,BE1140,BAXTER TRAVENOL NV,027021711,KOL. BOURGSTRAAT 105 B,,default
LILLO,035416936,BE2040,BAYER NV KRUISSCHANS,035403011,HAVEN LILLO 507 B 420,,default
ESSEN,036676000,BE2910,BECKERS ESSEN NV,036673556,RIJKMAKERLAAN 24,,default
ZWEVEGEM,056767575,BE8550,BEKAERT NV,056766936,BEKAERTSTRAAT 2,,default
Bruxelles (Schaerbeek),,BE1030,BELGACOM,,"Blvd Roi Albert II, 27",,default
BRUXELLES,022054040,BE1030,BELGACOM MOBILE SA,080012012,BOULEVARD EMILE JACQMAIN 157,,default
LANGEMARK,057490299,BE8920,BELGOMILK - POEDERDIVISIE CV,057490200,MELKERIJSTRAAT 10 BUS 58,,default
HERENTALS,014259112,BE2200,BETZ,014259111,TOEKOMSTLAAN,,default
BORNEM,038909811,BE2880,BMW BELGIUM NV,038909711,LODDERSTRAAT 16,,default
LA LOUVIERE,025118195,BE7100,USINES GUSTAVE BOEL,025118123,RUE DES RIVAUX 2,,default
HOOGSTRATEN,033144559,BE2320,BOLCKMANS NV,033143040,INDUSTRIEWEG 4,,default
PETANGE,,LU4702,BONPRI - LENTZ MARCHE,,B.P. 41,,default
,,BE,Bontrager Bike Material,,,,default
WOMMELGEM,033534150,BE2160,BOPACK NV,033551838,UILENBAAN 100,,default
WANDRE,043623543,BE4020,BP LINALUX SA,043627950,AVENUE DE L'INDEPENDANCE 59,,default
ANTWERPEN,032250478,BE2000,BRABO CV,032335352,SINT-ALDEGONDISKAAI 36,,default
BRUXELLES,025365787,BE1000,BRICO BELGIUM,025365738,RUE DU DAMIER 26,,default
DIEGEM,027702080,BE1831,BRIDGESTONE FIRESTONE EUROPE NV,027724159,KENNEDYLAAN 3,,default
HERSTAL,042481490,BE4040,BROWNING SA,042405211,3IEME RUE 25 - PARC INDUSTRIEL DES HAUTS,,default
OEVEL,014585430,BE2260,BUGA ANTWERPEN NV,014584411,SNELWEGSTRAAT 7,,default
WANDRE,043629857,BE4020,BUNDY SA,043627983,AU WERIHET 55,,default
Marpent,,FR59164,Calberson europe,27686821,rue H. Barbusse,,default
WIEZE,053780463,BE9280,CALLEBAUT NV,053730211,AALSTERSESTRAAT 124,,default
ANTWERPEN,035401860,BE2030,CARGILL NV,035401811,MUISBROEKLAAN KAAI 506,,default
BRUXELLES,022423480,BE1130,CARITAS SA,022422080,RUE DE LA GRENOUILLETTE 2,,default
Liège,,BE4020,CARREFOUR,,,,default
SCHELLE,038445221,BE2627,CASE BELGIUM NV,038808400,BRANDEKENSWEG 17,,default
GOSSELIES,071252465,BE6041,CATERPILLAR-BELGIUM,071252111,AVENUE DES ETATS-UNIS 1,,default
METZ CEDEX 1,,FR57016,CHAMBRE DE COMMERCE ET D'INDUSTRIE,0033/87523100,"Avenue Foch, 10/12",,default
Gosselies,,BE6041,Chauffage Service SA,,"Avenue de la Mangue Pourpre, 58/c",,default
HACCOURT,043794922,BE4684,CIMENTS DE HACCOURT SA,043799911,RUE DE L'ECLUSE 40,,default
LEDEBERG,092317719,BE9050,CITROEN BELUX NV,092323030,BURGEMEESTER A HEYNDRICKXLAAN 2,,default
TUBIZE,023557777,BE1480,FORGES DE CLABECQ,023557755,RUE DE LA DUPORTATION 21,,default
ANTWERPEN 1,032475992,BE2000,CMB NV,032475911,DE GERLACHEKAAI 20,,default
GEEL,015317411,BE2440,COCCINELLE NV,015317181,ACACIASTRAAT 21,,default
COUILLET,071436707,BE6010,COCKERILL SAMBRE SA,071444111,RUE DE L'USINE 1,,default
ANTWERPEN 7,023600207,BE2018,COLRUYT NV,032378723,JONGHELINCKSTRAAT 18,,default
SINT-KATELIJNE-WAVER,023600207,BE2860,COLRUYT NV,015550251,PUTSESTEENWEG,,other
DEURNE (ANTWERPEN),023600207,BE2100,COLRUYT NV,033211135,VAN LISSUMSTRAAT 34,,other
BRASSCHAAT,023600207,BE2930,COLRUYT NV,036513151,LEOPOLDSLEI 22,,other
DEURNE (ANTWERPEN),023600207,BE2100,COLRUYT NV,033265070,EYERDIJKSTRAAT 22,,other
ANTWERPEN,032195804,BE2050,COMBORI NV,032101211,BLANCEFLOERLAAN 181,,default
LUXEMBOURG,,LU2013,Compagnie Fiduciaire,344.90.91,Bd de la Foire 13,,default
HOWALD,,LU2529,COOPERS & LYBRAND,00352/40.35.66,"Rue des Scillas, 15",,default
LUXEMBOURG,,LU1014,COOPERS & LYBRAND,,"rue Eugène Ruppert, 16",,other
Sugny,,BE5550,Librairie COPY,,"Rue de la Prairie, 54",,default
RANSART,071258820,BE6043,CORA,027781980,PLACE EMILE VANDERVELDE,,default
COURCELLES,071817674,BE6180,CORA SA,071363406,RUE DE LA GLACERIE 122,,default
GOE,087342760,BE4834,COREDIS SA,087342711,ROUTE DE LA GILEPPE 4,,default
GOE,087763825,BE4834,N CORMAN SA,087342211,ROUTE DE LA GILEPPE 4,,default
Luxembourg,,LU1150,CREGEM INTERNATIONAL BANK,352/457525978,"Route d'Arlon, 283",,default
LIMPENSBERG,,LU1511,Centre de recherche publique,00.352.21.621,Av de la Faiencerie 162A,,default
BATTICE,087692997,BE4651,CS-INTERGLAS SA,087692970,RUE CHESSEROUX  - PARC INDUSTRIEL 23,,default
WESTERLO,014563510,BE2260,DAF ASSEN- EN CABINEFABRIEK NV,014563500,VAN DOORNELAAN 1,,default
OEVEL,014583727,BE2260,DAF BELGIE NV,014589591,VAN DOORNELAAN 1,,default
Liège,042272237,BE4000,DAMBOIS SA,042289911,QUAI DE CORONMEUSE 39,,default
GEEL,014590839,BE2440,DECOSTEEL NV,014563050,LAMMERDRIES 10,,default
WILRIJK,038203574,BE2610,DE JOND NV,038203470,TER BEKEHOFDREEF 55,,default
MECHELEN,015440998,BE2800,DE LIJN - VLAAMSE VERVOERMAATSCHAPPIJ NV,015440711,HENDRIK CONSCIENCESTRAAT 1,,default
Brussel,,BE1000,DELL Computer,,"Rue de Namur, 125",,default
BRUSSEL,022300239,BE1040,DISTRIGAZ NV,022377211,KUNSTLAAN 31,,default
GRIVEGNEE,043433770,BE4030,DISTRISUD-BELLENS SA,043433030,BOULEVARD DE FROIDMONT 35,,default
MECHELEN,015441407,BE2800,DU PONT DE NEMOURS-BELGIUM,015441011,ANTOON SPINOYSTRAAT  6,,default
AARSCHOT,016552010,BE3200,DURACELL BATTERIES NV,016552011,NIJVERHEIDSLAAN 7,,default
Brussel (Sint-Lambrechts-Woluwe),,BE1200,EASYNET Belgium,,"Rue Gulledelle, 92",,default
LUXEMBOURG,,LU1616,ECCO LUXEMBOURG SA,00352/49.35.13,Place de la Gare 26,,default
MALAKOFF,,FR92247,EDITIONS EDUSOFT,01 46730555,132 BD CAMELINAT,,default
Brussel,,BE1000,ELECTRABEL,,"Blvd du Régent, 8",,default
MEZE,,FR34140,CENTRE TECHN DE RECH LE PONANT,0033/67435566,"Route des Salins, BP 62",,default
AARTSELAAR,038252124,BE2630,ERAN PARTYRENT NV,038252535,KONTICHSESTEENWEG 73,,default
HOBOKEN,038283959,BE2660,ERIKS NV,038292611,BOOMBEKELAAN 3,,default
LUXEMBOURG,,LU1126,ETIMINE SA,00352/45.72.50,"Rue d'Amsterdam, 23",,default
WALHORN,087659022,BE4711,EUPENER GENOSSENSCHAFTMOLKEREI SC,087653717,MOLKEREIWEG 14,,default
Luxembourg,,LU1510,EUROCOMPTES,00352/47.10.11,"Avenue de la Faïencerie, 8",,default
IVOZ-RAMET,042751047,BE4400,EUROFOIL BELGIUM SA,042738787,RUE SOMPRE 51,,default
ENGIS,042756836,BE4480,EUROPHOS SA,042739680,RUE JOSEPH WAUTERS 101,,default
ANTWERPEN,,BE2018,EURO DIAMOND DISTRIBUTORS NV,032328224,SCHUPSTRAAT 9,,default
MARCHIENNE-AU-PONT,071441950,BE6030,FABRIQUE DE FER DE CHARLER,071441711,RUE DE CHATELET 266,,default
Bruxelles,,BE1000,Société de Factoring,02/567.99.88,"Rue des Prés, 126",,default
LUXEMBOURG,,LU2530,FIDUCIERE CENTRALE,00352/4037271,ZONING CLOCHE D'OR,,default
LUXEMBOURG,,LU1011,FIDUCIAIRE GENERALE,00352/49.92.21,RUE GLESNER 21,,default
ERTVELDE,022881661,BE9940,FINA EUROPE NV,022881511,BOMBARDEMENTSTRAAT 15,,default
BRUSSEL,022883260,BE1040,FINA NV,022889933,WETENSCHAPSSTRAAT 37,,default
ANTWERPEN,035455000,BE2030,FINA RAFFINADERIJ ANTWERPEN NV,035455011,SCHELDELAAN 16,,default
Strassen,,LU8069,First Business Media,00352317673,30 rue de l'industrie,,default
SERAING,043388188,BE4100,FORCAST BELGIUM (EX OSB CY) SA,043388110,RUE DE LA BARRIERE 40,,default
WILRIJK,038212009,BE2610,FORD,038212000,GROENENBORGERLAAN 16,,default
Luxembourg,,LU2550,FRITSCH & GROZINGER,00352/45.62.19,"Avenue du X Septembre, 6",,default
EMBOURG,043666800,BE4053,SOCIETE DE TRAVAUX GALERE SA,043666711,RUE JOSEPH DUPONT 73,,default
BEYNE-HEUSAY,043558422,BE4610,GEC ALSTHOM T&D BALTEAU SA,043558282,RUE DE MAGNEE 54,,default
LUXEMBOURG,,LU1222,GENERALIFE,,"Rue Beck, 4",,default
LIÔGE,042640192,BE4020,GEORGE & CIE SA,042640937,RUE DE L'ILE MONSIN 91,,default
LIER,034891009,BE2500,GIRAFFE BELGIE NV,034891563,ANTWERPSESTRAAT 36,,default
ANTWERPEN,032189736,BE2018,GOLDATA NV,032187447,LANGE LEEMSTRAAT 192,,default
DEURNE,033246820,BE2100,GOSSELIN WORLD WIDE MOVING NV,033257850,BELCROWNLAAN 9 A,,default
Huy,,BE4500,GSPORT,,,,default
BRUXELLES,023485004,BE1190,GUICHET DE L'ENERGIE ASBL,023485013,RUE FERNAND BERNIER 40,,default
VERVIERS,087338429,BE4800,G-MEDI SC,087338090,RUE DE MANGOMBROUX 116-118,,default
GEER,019588191,BE4250,HESBAYEFROST SA,019588434,RUE EMILE LEJEUNE 20,,default
WELKENRAEDT,087882895,BE4840,HEXCEL SA,087307411,RUE TROIS BOURDONS 54 - PARC INDUSTRIEL,,default
LANAKEN,089710255,BE3620,HOECHST CELANESE NV,089700111,INDUSTRIEWEG 80,,default
GENT,092516192,BE9000,HONDA EUROPE NV,092500211,LANGERBRUGGESTRAAT 104,,default
DUFFEL,015311981,BE2570,HOOGOVENS ALUMINIUM,015302111,A. STOCLETLAAN 87,,default
Aachen,,DE5100,Dr Huggle & Partner Gmbh,0049241/403114,"Heinrichsallee, 41",,default
RAEREN,087866319,BE4730,HYDRO ALUMINIUM RAEREN SA-NV,087859211,WALDSTRASSE 91,,default
LUXEMBOURG,,LU1331,IBL leasing,00352/45.38.97,Boulevard Grande-Duchesse,,default
BRUXELLES,022253478,BE1210,IBM EUROPEAN INTERN SA,022253333,SQUARE VICTORIA REGINA 1,,default
LUXEMBOURG,,LU1016,ICE Commercial Cleaning,,Z.I. de Hamm,,default
CHARLEROI,071271375,BE6000,INTERCOMMUNALE D'ELECTRICITE DU HAINAUT,071271211,BOULEVARD TIROU 37,,default
SUNNYVALE USA,,CA94086,IMAVOX Corp,00-14087363500,"Lakeside Drive, Suite 2",,default
BRUXELLES,022421752,BE1030,CIE INDEP DES TABACS CINTA,022474411,AVENUE GEORGES RODENBACH,,default
ANTWERPEN,035421894,BE2030,INDUFOR NV,035426370,NOORDERLAAN 125,,default
LUXEMBOURG,,LU1019,ING BANK,,64-66 AVENUE VICTOR HUGO,,default
ROESELARE,056369360,BE8800,INTERC GAS ELECTR VAN HET,056369211,LEENSTRAAT 72,,default
LIEGE,043417810,BE4020,INTERCOM DES PERSONNES AGEES DE LIEGE S,043417811,RUE BASSE-WEZ 301,,default
BRUXELLES,025254024,BE1060,INTERCONTAINER-INTERFRIGO SOCIETE INT S,025242238,RUE DE FRANCE 85,,default
HASSELT,011266910,BE3500,INTERELECTRA CV,011266060,TRICHTERHEIDEWEG 8,,default
LUXEMBOURG,,LU1511,INTERFIDUCIAIRE,00352/47.68472,AVENUE DE LA FAIENCERIE 121,,default
MECHELEN,015215640,BE2800,INTERGEM,015215360,ELEKTRICITEITSTRAAT 68,,default
WILRIJK,038281538,BE2610,INTERGROS CV,038301337,OUDE BAAN 150,,default
EUPEN,087555395,BE4700,INTERKOMMUNALE ELEKTRIZITETSGESELLSCHAFT,087742046,VERVIERSER STRASSE 64,,default
CLERMONT-SOUS-HUY,042758290,BE4480,INTRAMET SA,042758211,ZONING INDUSTRIEL,,default
LUXEMBOURG,,LU1371,IP LUXEMBOURG,00352/44.85.85,"Val Ste Croix, 7",,default
GEEL,014581127,BE2440,IRG PLASTICS,014576711,LEUKAARD 1,,default
Bruxelles,02/545.17.19,BE1000,Isabel SA,02/545.17.11,bd de l'Impératrice 13-15,,default
ANTWERPEN,032187788,BE2018,IVEKA,032800211,MECHELSESTEENWEG 271,,default
HALLE,023623998,BE1500,JACOBS-SUCHARD NV,023623111,BILKENSVELD 1,,default
BEERSE,014602841,BE2340,JANSSEN PHARMACEUTICA NV,014602111,TURNHOUTSEWEG 30,,default
Marcq-en Baroeul,,FR59702,JETAIRE,0033/20983710,62 avenue Foch BP 2003,,default
RECKANGE SUR MESS,,LU4981,JIEPIE DESIGN SARL,00352/21143292,"7, IM REHSPELT",,default
SINT-JOB-IN-'T GOOR,033150790,BE2960,KIA BELGIUM,033150726,KAAISTRAAT 60,,default
LUXEMBOURG,,LU2430,KOMPASS LUXEMBOURG  EDITUS,00352/49.60.51,Rue Michel Rodange 28,,default
AWANS,042399222,BE4340,KONE BELGIUM SA,042399211,RUE DE BRUXELLES 174,,default
ANTWERPEN,032273322,BE2000,KRUIDVAT NV,032273340,MEIR 99,,default
BRUXELLES,025128005,BE1000,KUWAIT PETROLEUM (BELGIUM),025113887,RUE DE LA PRESSE 4,,default
HERVE,087678612,BE4650,LAITERIE R#GIONALE DE HERVE SC,087692939,AVENUE REINE ASTRID 5,,default
ANTWERPEN,032320079,BE2000,LALEMANT AGENCE MARITIME NV,032314950,TAVERNIERKAAI 2,,default
ALLEUR,042634951,BE4432,LAWN COMFORT SA,042467411,RUE DE WALLONIE 12,,default
BRUXELLES,022184962,BE1000,LA POSTE SA,022262111,CENTRE MONNAIE - MUNTCENTRUM,,default
PACY sur EURE,,FR27120,LA COMMANDE ELECTRONIQUE,0033 32646362,BP 62  -  DOUAINS,,default
Mont Bonnot,,FR38330,LCE GRENOBLE,003376523334,Z.A. le prés Milliet,,default
ANTWERPEN,,BE2000,LDCI NV,032036600,ARENBERGSTRAAT 21,,default
LIEGE,,BE4000,MAISON LESSUISE SPRL,042461010,RUE DU CHATEAU MASSART 118,,default
KAMPENHOUT,016605395,BE1910,LEVER OTARES,016606060,HAACHTSESTEENWEG 672,,default
LINT,034540255,BE2547,LINTOR,034540420,BOSSENSTRAAT 26,,default
LAVAL,,FR53031,LOBIAL SOGEVAL,0033/43495151,BP 911 - 200 route de Mayenne,,default
,,BE,LOOK and Cie,,,,default
LUXEMBOURG,,LU1611,LUX CONSEIL INTERNATIONAL SA,00352/49.09.56,"Avenue de la Gare, 65",,default
DUDELANGE,,LU3542,LYCEE TECHNIQUE NIC BIEVER,,28 RUE DU PARC,,default
LUXEMBOURG,,LU1338,LYCEE TECHNIQUE DE BONNEVOIE,,119 RUE DU CIMETIERE,,default
ETTELBRUCK,,LU9080,LYCEE TECHNIQUE ETTELBRUCK,00352/819201,Av. de Salentiny,,default
BRUXELLES,022143478,BE1210,INTERNATIONAL BUSINESS MAC,022252111,SQUARE VICTORIA REGINA 1,,default
ESCH-SUR-ALZETTE,,LU4221,ECOLE PRIVEE MARIE-CONSOLATRICE,00352/5212571,"rue de Luxembourg, 101",,default
AARTSELAAR,038771254,BE2630,MARUBENI AUTO - EUROPE NV,038770680,BOOMSESTEENWEG 44,,default
PETIT-RECHAIN,087315908,BE4800,MAS BENELUX SA,087322626,PARC INDUSTRIEL DE PETIT-RECHAIN,,default
,,BE,Master lock,,,,default
WANGENIES,071815105,BE6220,MATCH SA,071815070,ROUTE DE GOSSELIES 408,,default
ANTWERPEN,032161328,BE2018,F MATHIEU NV,032164900,VAN PUTLEI 14,,default
,,BE,MAVIC Belgium SA,,,,default
METZ,,FR57016,MERCURE HOLIGOLF HOTEL,0033/87399450,"rue F. SAVART, 1",,default
LUXEMBOURG,,LU1615,CHAMBRE DE COMMERCE,00352 423939,7 rue Alcide de Gaspéri,,default
BRUXELLES,025201229,BE1070,AGENCE & MESSAGERIES DE LA PRESSE SA,025251411,RUE PETITE-ILE 1,,default
GOSSELIES,071357319,BE6041,MESTDAGH SA,071257211,RUE DU COLOMBIER 9,,default
BEERSE,014611470,BE2340,METALLO CHIMIQUE INTERNATIONAL NV,014609511,VAARTSTRAAT 59,,default
HERSTAL,042481518,BE4040,METAL PROFIL BELGIUM SA,042406711,PARC INDUSTRIEL DES HAUTS-SART,,default
ASNIERES CEDEX,,FR92606,SOLUTION ASNIERES,33/16147917200,Tour d'Asnières,,default
La Chapelle sur Erdre,,FR44240,METROLOGIE NANTES,40.37.70.92,Rue Arago Zac de la Gesvrine,,default
MERIGNAC,,FR33700,METROLOGIE,0033/56344529,Parc Club Cadéra Nord,,default
VENISSIEUX,,FR69200,METROLOGIE,0033/78014533,Parc Club Moulin à Vent,,other
Les milles cédex,,FR13763,METROLOGIE,0033/42244352,Z.I. D'Aix en Provence,,other
VILLENEUVE D'ASCQ,,FR59650,METROLOGIE,00332047.28.28,"2, Rue Jacques Prevert",,other
VILLENEUVE,,FR59650,METROLOGIE PARIS,00331/47906240,,,default
Toulouse,,FR31200,Metrologie Toulouse,0033/61579292,78 Chemin des Sept Deniers,,default
VILLERS LES NANCY CEDEX,,FR54603,SOLUTION NANCY,,Parc Club De Brabois,,default
MEYLAN,,FR38240,SOLUTION GRENOBLE,0033/76411996,Polytech Zirst,,default
CRESSON-SEVIGNE,,FR35510,SOLUTION RENNES,0033/99838323,Technoparc Bat. A,,default
VALBONNES,,FR06560,SOLUTION SOPHIA ANTIPOLIS,0033/93654999,Art. CENTER,,default
,,BE,Michelin Pneu,,,,default
BRUSSEL,026755505,BE1160,MITSUI & Cø BENELUX NV,026782111,TRIOMFLAAN 173 B 1,,default
BRUXELLES,027764040,BE1150,MONSANTO EUROPE SA,027764111,AVENUE DE TERVUEREN 270-272,,default
SINT-STEVENS-WOLUWE,027158050,BE1932,MONTELL BELGIUM NV,027158000,WOLUWEDAL 24,,default
LIEGE,043433986,BE4020,GILLES MOURY SA,043447211,RUE DU MOULIN 320,,default
,,BE,Nalini Import Belgium,,,,default
ZEDELGEM,050253632,BE8210,NEW HOLLAND BELGIUMNV,050253111,LEON CLAEYSSTRAAT 3A,,default
LAAKDAL,,BE2430,NIKE BELGIUM NV,014681211,NIKELAAN 1,,default
BRUSSEL,025259228,BE1070,N M B S - BE REIZIGERS INTERNATIONAAL,025252111,FRANKRIJKSTRAAT 54 BUS 5-6,,default
SOLEUVRE,,LU4467,NORCALLOYS SA,00352/59075732,47B rue de Limpach,,default
Liège,,BE4000,Notaire Dupuis,,Quai des Ardennes,,default
ANTWERPEN,032250359,BE2000,NUTRISI NV,032252816,SINT-PIETERSVLIET 7,,default
Odéon (Paris),,FR59650,HOTEL ODEON,0033143257011,13 rue St Suplice,,default
LUXEMBOURG,,LU1027,OMNIS SA,00352/481.581,BP 2705,,default
ANTWERPEN,035404698,BE2030,OPEL BELGIUM NV,035404111,NOORDERLAAN 401 BUS 500,,default
LUXEMBOURG,,LU1469,OPTICAL SYSTEMS,00352/22.30.95,60 rue Ermesinde,,default
OREYE,019678335,BE4360,RAFFINERIE NOTRE-DAME / ORAFTI SA,019679411,RUE LOUIS MARECHAL 1,,default
LUXEMBOURG,,LU1615,ORDRE DES EXPERTS COMPTABLES,00352/43.59.61,rue A de Gaspéry 7,,default
ZWIJNDRECHT,032503600,BE2070,O S I SPECIALITIES BENELUX NV,032502600,HAVEN 1053 - NIEUWE WEG 1,,default
LIEGE,042409421,BE4020,OXYBEL SA,042409311,RUE DE L'ILE MONSIN 109,,default
LIER,034892327,BE2500,PARTEK-ERGON NV,034900411,MARNIXDREEF 5,,default
LUXEMBOURG,,LU2342,COOPERATIVE PATRONS BOUCHERS,00352/251925 1,48 rue Poincarré,,default
SUIPPES,,FR51600,PERSON Xavier,26.70.00.72,Saint Hilaire le Grand,,default
NIVELLES,067216919,BE1400,PEUGEOT-TALBOT,067880211,RUE DE L'INDUSTRIE 22,,default
HOBOKEN,038254411,BE2660,LIÔGE PHARMA NV,038254173,HENDRIKLEI 69,,default
BRUSSEL,026733670,BE1170,PHILIP MORRIS BELGIUM NV,026741811,TERHULPSESTEENWEG 189,,default
BRUSSEL,025257690,BE1070,PHILIPS LIGHTING,025257611,TWEESTATIONSSTRAAT 80,,default
STRASSEN,,LU8001,PHILIPS LUXEMBOURG CONSUMER,00352/44.38.38,ROUTE D'ARLON 19-21,,default
IEPER,057222001,BE8900,PICANOL NV,057222111,POLENLAAN 3-7,,default
STABROEK,035687475,BE2940,PICOLO VANDEPOEL & Cø NV,035686281,LAAGEIND 1-3,,default
MELSELE,035700890,BE9120,PIONEER ELECTRONIC (EUROPE) NV,035700511,HAVEN 1087 - KEETBERGLAAN 1,,default
HOESELT,089492452,BE3730,POWER TOOLS DISTRIBUTION NV,089410411,INDUSTRIELAAN 40,,default
STROMBEEK-BEVER,024564570,BE1853,PROCTER & GAMBLE BENELUX SA,024564511,TEMSELAAN 55,,default
ANTWERPEN,032335731,BE2000,PRODAC NV,032318600,LANGE WINKELSTRAAT 40-42,,default
BRUXELLES,023321233,BE1180,PSA CREDIT BELGIUM SA,023707711,RUE DE L'ETOILE 99,,default
LUXEMBOURG,,LU2013,PSI SA,352.499801-1,68-70 BOULEVARD PETRUSE,,default
LUXEMBOURG,,LU1015,P & T,4991-5552,B.P. 1505,,default
,,BE,Pumas,,,,default
BORNEM,038896913,BE2880,QUALIPHAR LABORATORIA NV,038891721,RIJKSWEG 9,,default
EDEGEM,,BE2650,RECO,034481087,OMHEININGLEI 10,,default
DROGENBOS,023311150,BE1620,RENAULT,023347611,AVENUE W.A.MOZART 20,,default
BRUXELLES,025220488,BE1070,RENAULT INDUSTRIE BELGIQUE SA,025224183,CHAUSSEE DE MONS 301,,default
,,BE,DIVERS RESTAURANTS,,,,default
KAPELLEN,036651752,BE2950,GARAGE RIETJE NV,036641688,ANTWERPSESTEENWEG 346,,default
EUPEN,087553708,BE4700,ROM SA,087555938,INDUSTRIESTRASSE 38,,default
ALBERTVILLE,,FR,Hotel le ROMA,0033/79371556,route de Chambery,,default
LUXEMBOURG-KIRCHBERG,,LU1543,RTL  INFORMATIQUE,00352/42142,BOULEVARD PIERRE FRIEDEN 45,,default
ZAVENTEM,026727038,BE1930,SABENA,027235859,LUCHTHAVEN,,default
BARCELONA,,ES,SALES KIT SA,34 3 322 30 51,Caballero 79,,default
BRUSSEL,022186134,BE1000,SAMENWERKENDE VENNOOTSCHAP VOOR PRODUKTI,022171030,KONINGSSTRAAT 55 BUS 14,,default
SERAING,,BE4100,S C P E,,RUE FIVU 150,,default
VILVOORDE,022541671,BE1800,SECA NV,022541511,MECHELSESTEENWEG 520,,default
WIJNEGEM,033263283,BE2110,SEDEC NV,033603600,BIJKHOEVELAAN 12,,default
FRANKFURT 71,,DE6000,Seiko Instruments GmbH,004969/6630000,"Lyonerstr, 36",,default
,,BE,Select,,,,default
ENGIS,042755531,BE4480,SGL CARBON SA,042758711,ROUTE DE LIEGE,,default
LIEGE,042213397,BE4000,SGPMI SA,042213404,BOULEVARD FRERE-ORBAN 18,,default
,,BE,SHIMANO SA,,,,default
BRUXELLES,022443693,BE1000,SIBELGAZ-SIBELGAS SC,022443101,QUAI DES USINES 16,,default
GENT,093474907,BE9042,SIDMAR NV,093473111,J.F. KENNEDYLAAN 51,,default
LUXEMBOURG,,LU1010,SIEMENS NIXDORF LUXEMBOURG,00352422820801,20 RUE DES PEUPLIERS,,default
DILSEN-STOKKEM,089750936,BE3650,SIEMENS NV,089750811,SIEMENSLAAN 2,,default
ST-SAUVEUR-le-VICOMPTE,,FR50390,SIMOP,0033/33958800,Le Moulin,,default
BRUXELLES,022167711,BE1140,ST  INTERN TELECOMMUNICATION AERONAUT,022451011,AVENUE HENRI MATISSE 14,,default
Brussel (Evere),,BE1140,SKYNET SA,,"Carlistraat - Rue Carli , 2",,default
Brussel (Elsene),,BE1050,SMAP / OMOP,,"Rue du grand incendie, 59",,default
RIXENSART,026568000,BE1330,SMITH KLINE BEECHAM-BIOLOGICALS SA,026568111,RUE DE L'INSTITUT 89,,default
BRUSSEL,025252900,BE1060,SNCB,025252793,FRANKRIJKSTRAAT 85,,default
BRUXELLES,022277999,BE1000,SOGEM SA-NV,022277777,RUE AU MARAIS 31,,default
LEUDELANGE,,LU3366,SOLUVER SARL,00352.48.67.89,ZONING IND DE GRASBUSCH,,default
RODANGE,,LU4830,SOLUXTRAFER,00352504602,2-4 route de Longwy,,default
LIEGE,042648539,BE4020,SOMEF SA,042648430,RUE DE L'ILE MONSIN 87,,default
SCHELLE,038808459,BE2627,SPARTA NV,038808450,BRANDEKENSWEG 2,,default
